Utterance,Start,End,Group,Participant,Transcript
0,3.9,5.9,10,4,Let me Calibrate my cameras real quick.
1,5.901,6.4,10,4,Oh I'm just
2,14.67,19.08,10,3,Oh okay.
3,7.37,7.65,10,3,Sorry.
4,15.38,15.66,10,4,Okay.  
5,16.12,18.92,10,4,The test that you are completing today is called the weights test.
6,19.67,23.17,10,4,In part one you will work together to determine the weights of the five colorful cubes.
7,24.01,26.75,10,4,I will tell you that the red cube is ten grams.
8,27.57,30.84,10,4,You will determine the weights of the remaining cubes using the scale here.
9,31.53,42.59,10,4,All of the weights are intervals of ten grams so you don't need to use the slider um and the scale is not perfect so as long as one side doesn't drop you can assume the weights are fairly equal
10,43.52,51.002,10,4,You must place the cubes onto this worksheet once you have determined their weight and also enter their weight in the survey on the computer.
11,51.75,53.32,10,4,Uh you can now start the survey.
12,53.33,54.58,10,4,You guys are gonna be group number ten.
13,55.33,57.08,10,3,Okay so the red is ten grams?
14,57.33,57.4,10,2,Yeah.
15,57.59,58.32,10,3,Okay.  
16,58.47,59.92,10,1,So I suppose like
17,60.67,65.67,10,1,Let's assume that the bigger ones are 
18,66.58,67.42,10,2,Let's put two yeah.
19,68.25,69.5,10,1,We can put that other one here too.
20,69.25,70,10,2,Red one as well.
21,71.73,72.25,10,3,Hmmm.
22,74,74.98,10,2,Too hard a selection.
23,78.08,79.06,10,1,Yeah I suppose.
24,79.58,82.08,10,3,I guess this is like twenty and this is like ten and ten.
25,82.33,82.84,10,2,Hopefully.
26,82.97,85.59,10,3,I mean what why didn't we first check out whether these two are equal.
27,85.41,86.17,10,1,Yeah.
28,85.91,87.91,10,3,They are of equal size but
29,87.41,88.16,10,2,They're the same.
30,88.41,90.17,10,2,Uhhhh just don't want to touch it.
31,96.5,98,10,3,It looks like they're fairly equal.
32,100,101.08,10,2,Yeah I suppose.
33,100.84,102.85,10,3,Right so then that's twenty these two are ten.
34,104.33,105.32,10,2,Let's see.
35,104.59,106.59,10,1,That would make sense to me.
36,108.83,110.92,10,2,Just a sec let it settle for the
37,111.42,111.62,10,3,Mmhmm
38,115.17,115.92,10,3,Hmmm.
39,117.42,119.17,10,3,Looks fairly equal to me yeah.
40,117.46,118.87,10,2,Yeah they're together.
41,119.75,120,10,3,Alright.
42,119.75,120.68,10,2,Yeah they're they're equal.
43,121.5,124.25,10,3,Well now let's do these two.
44,123,123.75,10,1,You can just
45,125.34,128.25,10,3,I can already tell this one's heavier yeah.
46,127,127.23,10,2,Heavier.
47,128.58,129.84,10,2,So let's put the ten one ten.
48,130.33,131.08,10,2,Let's put one ten.
49,132.58,133.08,10,2,Let's see.
50,136.34,138.42,10,1,I say they are equal.
51,138.43,139.92,10,2,Yeah fairly equal but let's see.
52,140.64,142.91,10,1,Those are the instructions I suppose
53,142.92,144.13,10,3,We gotta be.
54,145.5,146,10,3,Oh.
55,146.28,150.25,10,3,Try this one out as well like after some time wait wait wait let's let's see if it balances.
56,149.75,150.11,10,2,Yeah.
57,151.46,153,10,3,Cause I have a feeling this is a little more.
58,157.81,163.33,10,1,I'm not sure was uh just a bit more like we would be able to tell the difference.
59,161.42,163.39,10,2,Just a second just a sec
60,166.41,167.67,10,3,Like you would be able to see it right?
61,167.39,168,10,2,Yeah yeah yeah yeah.
62,169.16,170,10,2,Just a sec.
63,171.5,173.26,10,2,Stop now please.
64,180.78,183.35,10,2,I'm guessing it's a little bit to the left a little bit to the left like
65,184.06,184.67,10,3,Yeah.
66,184.9,187.4,10,2,It touches the red line but on the left hand side of the left line red
67,187.42,190.4,10,3,so let's try to put that on top and see
68,190.41,191.17,10,2,it's gonna be heavier
69,191.38,194.73,10,3,Okay so it's definitely not like fourty.
70,193.56,195.68,10,2,Like not equal but almost almost equal
71,195,197.46,10,3,Like thirty two thirty three what do you say.
72,197.75,199.21,10,3,Cause this one's twenty this one's ten
73,199,201.26,10,2,How do wait how do we know this one's twenty did we
74,201.25,202.21,10,3,Cause we did it.
75,202.32,202.56,10,2,no we didn't
76,203.33,207.27,10,2,We we moved it and checked the two tens remember we didn't do this one.
77,207.46,209.92,10,3,Yeah but then when we have the two yeah.
78,208.39,212.15,10,1,To begin with also like we don't really have time to do this.
79,211.4,211.92,10,3,Yeah.
80,212.12,214.91,10,2,Okay yeah sure sure sure yeah yeah put thirty
81,213.14,217,10,3,yeah so I would say around thirty two or something.
82,216.15,216.41,10,2,Thirty yeah
83,217.89,219.78,10,2,Thirty one thirty two so thirty
84,218.23,219,10,3,So okay.
85,220,220.5,10,3,Cool.
86,223,225,10,1,Um you know what let's try this.
87,224.72,225.48,10,3,What's left.
88,228.21,228.74,10,3,Okay.  
89,234.11,235.39,10,1,Do these make sense
90,247.61,250.52,10,2,So this one's thirty and what's this one twenty right
91,250.73,250.83,10,1,Twenty.
92,250.75,251.5,10,3,Twenty Yeah.
93,251.78,254.24,10,2,Twenty okay so this one's gonna be fifty okay.
94,260.9,262.41,10,2,Almost there.
95,263.83,266.14,10,3,I mean it's not gonna go anywhere I guess it's just
96,265.91,269.13,10,2,It's more tilting to the right so less than fifty
97,268.15,268.91,10,3,Oh.
98,270,270.72,10,3,Okay
99,270,274,10,2,But there's no like I mean between weights so fifty.
100,274.24,275.81,10,1,Do you wanna try any tens anywhere
101,278.32,280.07,10,2,Just a sec let this settle now.
102,280.08,283.33,10,3,This is gonna be too heavy I think this is around yeah.
103,280.81,281.31,10,2,Yeah.
104,283.84,286.57,10,2,This is like less than fifty less than fifty.
105,284.97,285.4,10,3,Fifty
106,286.92,289.89,10,3,Like if those are more than fifty then this is less
107,289.78,290.41,10,2,Less than fifty
108,290.45,290.71,10,3,Yeah.
109,295.5,297.25,10,3,I guess we're done huh.
110,297.14,297.73,10,1,Makes sense if
111,298.25,301.5,10,3,I just want to feel it though I really want to see if it's the heaviest
112,302.51,302.78,10,3,Should I
113,303,305,10,2,Yeah yeah it's it's almost settled down so it's less than fifty
114,305.08,307.26,10,3,Oh yeah this is fifty grams 
115,307.81,308.83,10,1,So this was thirty right
116,309.17,309.33,10,2,Yeah.
117,309.31,312.48,10,1,Thirty this was twenty and these are tens
118,309.91,310.17,10,3,Okay.  
119,310.13,310.42,10,2,Twenty
120,312.89,313.67,10,2,and that's fifty
121,313.87,314.17,10,3,Fifty
122,316.91,317.36,10,2,tens yeah
123,318.23,319.14,10,2,So that's it
124,320.47,320.71,10,2,Hopefully
125,320.63,322,10,3,Well we have more weights here
126,322.72,324,10,3,Like one fourty
127,323.25,324.18,10,1,This mandate
128,325,326,10,3,But no blocks
129,327.82,329.84,10,1,What are we supposed to do we are supposed do
130,329.82,331.59,10,3,Do you have more blocks or I think we're done here.
131,331.53,333.09,10,1,We are supposed to enter it in the laptop
132,333.33,334.59,10,3,Oh okay let's do that
133,335.64,336.41,10,2,Ten I guess
134,335.87,337.17,10,3,Group number ten
135,342.68,342.98,10,3,okay
136,343.5,345,10,2,So the yellow one's fifty
137,344,344.67,10,3,Now help me out
138,344.52,345,10,1,Fifty
139,345.92,346.17,10,3,Fifty
140,346.41,346.58,10,1,Yeah
141,346.92,347.12,10,2,Yeah
142,347.21,349,10,3,Okay green
143,348.23,350.5,10,2,Green wait green's twenty
144,350.25,350.68,10,1,Twenty
145,352.82,353.23,10,3,Okay
146,353.34,355.84,10,1,And they’re two blue
147,355.32,359.09,10,2,Tens tens are blue blue and red yup
148,359.57,362.12,10,3,blue and reds well they don't have the right uh purple
149,361.92,363.41,10,2,Purple's this one thirty
150,363.57,365.67,10,3,Thirty right yeah alright let's do it
151,366.42,373.25,10,1,you know what like I feel that is this what the other thing too is purple because blue and red makes purple right 
152,373.75,376.35,10,3,No I think this is this is the one which is purple
153,374,375.5,10,2,No no no no
154,376.25,383.09,10,2,So like they gave the weight of this one they gave the weight of the red one so that's why they didn't include this one they already gave us yeah
155,376.5,378.5,10,1,There are four options so
156,381.83,382.59,10,3,Oh.
157,383.74,386.09,10,3,lets go ahead and hit this.
158,387.42,390.67,10,3,red is ten grams  yellow is fifty grams 
159,388.42,389.17,10,2,Yeah red ten given
160,391.12,396.25,10,3,Green is twenty I mean we're we're right right I mean we're exactly right
161,394.25,397,10,2,Uh yeah let's see
162,398.25,401.25,10,3,No the red is ten blue is ten yellow is fifty
163,399.5,402.33,10,2,Yeah yeah yeah we're we're right
164,402.57,403.09,10,3,Okay.  
165,405.01,406.09,10,2,Where is the mystery block
166,406.84,407.59,10,2,Any idea
167,407.84,409.84,10,3,Indicate the weight of the mystery block
168,410.18,411.04,10,1,You have two attempts
169,411.17,411.42,10,2,Okay
170,411.67,411.95,10,3,Whoa
171,412.17,413.12,10,2,okay we remove the scale
172,414.67,416.42,10,4,Determine the weight of this mystery block 
173,416.42,417.67,10,3,Where is the blue guy
174,416.87,418.67,10,1,It's heavier than everything else
175,419.67,424.5,10,4,Um you guys will have two attempts to enter the data correctly into the survey
176,422,422.75,10,2,Two attempts okay
177,424.5,426,10,2,Wait this one is what again fifty
178,426.08,426.59,10,3,This is fifty
179,426.84,427.84,10,2,This is this is
180,428.82,430.07,10,3,That's that was thirty
181,429.34,430.58,10,1,Thirty Twenty
182,430.59,431.57,10,2,Okay just a sec
183,433.32,438.67,10,2,Can we form something on one side like this place the other one
184,439.15,440.63,10,3,Well just just try to get a feel of It.
185,441.42,443.42,10,2,So okay yeah
186,445.5,449.5,10,1,I would say still heavier than all these blocks
187,447.5,449.25,10,2,Okay really
188,449.5,449.75,10,3,Really
189,450,451.75,10,1,Yeah can you grab there and hold it
190,450.25,450.84,10,2,Really
