,Propositions
0,red = 10
1,red = 20
2,red = 30
3,red = 40
4,red = 50
5,red = blue
6,red = green
7,red = purple
8,red = yellow
9,red = blue + green
10,red = blue + purple
11,red = blue + yellow
12,red = green + purple
13,red = green + yellow
14,red = purple + yellow
15,red = blue + green + purple
16,red = blue + green + yellow
17,red = blue + purple + yellow
18,red = green + purple + yellow
19,red = blue + green + purple + yellow
20,red != 10
21,red != 20
22,red != 30
23,red != 40
24,red != 50
25,red != blue
26,red != green
27,red != purple
28,red != yellow
29,red != blue + green
30,red != blue + purple
31,red != blue + yellow
32,red != green + purple
33,red != green + yellow
34,red != purple + yellow
35,red != blue + green + purple
36,red != blue + green + yellow
37,red != blue + purple + yellow
38,red != green + purple + yellow
39,red != blue + green + purple + yellow
40,red < 10
41,red < 20
42,red < 30
43,red < 40
44,red < 50
45,red < blue
46,red < green
47,red < purple
48,red < yellow
49,red < blue + green
50,red < blue + purple
51,red < blue + yellow
52,red < green + purple
53,red < green + yellow
54,red < purple + yellow
55,red < blue + green + purple
56,red < blue + green + yellow
57,red < blue + purple + yellow
58,red < green + purple + yellow
59,red < blue + green + purple + yellow
60,red > 10
61,red > 20
62,red > 30
63,red > 40
64,red > 50
65,red > blue
66,red > green
67,red > purple
68,red > yellow
69,red > blue + green
70,red > blue + purple
71,red > blue + yellow
72,red > green + purple
73,red > green + yellow
74,red > purple + yellow
75,red > blue + green + purple
76,red > blue + green + yellow
77,red > blue + purple + yellow
78,red > green + purple + yellow
79,red > blue + green + purple + yellow
80,blue = 10
81,blue = 20
82,blue = 30
83,blue = 40
84,blue = 50
85,blue = red
86,blue = green
87,blue = purple
88,blue = yellow
89,blue = red + green
90,blue = red + purple
91,blue = red + yellow
92,blue = green + purple
93,blue = green + yellow
94,blue = purple + yellow
95,blue = red + green + purple
96,blue = red + green + yellow
97,blue = red + purple + yellow
98,blue = green + purple + yellow
99,blue = red + green + purple + yellow
100,blue != 10
101,blue != 20
102,blue != 30
103,blue != 40
104,blue != 50
105,blue != red
106,blue != green
107,blue != purple
108,blue != yellow
109,blue != red + green
110,blue != red + purple
111,blue != red + yellow
112,blue != green + purple
113,blue != green + yellow
114,blue != purple + yellow
115,blue != red + green + purple
116,blue != red + green + yellow
117,blue != red + purple + yellow
118,blue != green + purple + yellow
119,blue != red + green + purple + yellow
120,blue < 10
121,blue < 20
122,blue < 30
123,blue < 40
124,blue < 50
125,blue < red
126,blue < green
127,blue < purple
128,blue < yellow
129,blue < red + green
130,blue < red + purple
131,blue < red + yellow
132,blue < green + purple
133,blue < green + yellow
134,blue < purple + yellow
135,blue < red + green + purple
136,blue < red + green + yellow
137,blue < red + purple + yellow
138,blue < green + purple + yellow
139,blue < red + green + purple + yellow
140,blue > 10
141,blue > 20
142,blue > 30
143,blue > 40
144,blue > 50
145,blue > red
146,blue > green
147,blue > purple
148,blue > yellow
149,blue > red + green
150,blue > red + purple
151,blue > red + yellow
152,blue > green + purple
153,blue > green + yellow
154,blue > purple + yellow
155,blue > red + green + purple
156,blue > red + green + yellow
157,blue > red + purple + yellow
158,blue > green + purple + yellow
159,blue > red + green + purple + yellow
160,green = 10
161,green = 20
162,green = 30
163,green = 40
164,green = 50
165,green = red
166,green = blue
167,green = purple
168,green = yellow
169,green = red + blue
170,green = red + purple
171,green = red + yellow
172,green = blue + purple
173,green = blue + yellow
174,green = purple + yellow
175,green = red + blue + purple
176,green = red + blue + yellow
177,green = red + purple + yellow
178,green = blue + purple + yellow
179,green = red + blue + purple + yellow
180,green != 10
181,green != 20
182,green != 30
183,green != 40
184,green != 50
185,green != red
186,green != blue
187,green != purple
188,green != yellow
189,green != red + blue
190,green != red + purple
191,green != red + yellow
192,green != blue + purple
193,green != blue + yellow
194,green != purple + yellow
195,green != red + blue + purple
196,green != red + blue + yellow
197,green != red + purple + yellow
198,green != blue + purple + yellow
199,green != red + blue + purple + yellow
200,green < 10
201,green < 20
202,green < 30
203,green < 40
204,green < 50
205,green < red
206,green < blue
207,green < purple
208,green < yellow
209,green < red + blue
210,green < red + purple
211,green < red + yellow
212,green < blue + purple
213,green < blue + yellow
214,green < purple + yellow
215,green < red + blue + purple
216,green < red + blue + yellow
217,green < red + purple + yellow
218,green < blue + purple + yellow
219,green < red + blue + purple + yellow
220,green > 10
221,green > 20
222,green > 30
223,green > 40
224,green > 50
225,green > red
226,green > blue
227,green > purple
228,green > yellow
229,green > red + blue
230,green > red + purple
231,green > red + yellow
232,green > blue + purple
233,green > blue + yellow
234,green > purple + yellow
235,green > red + blue + purple
236,green > red + blue + yellow
237,green > red + purple + yellow
238,green > blue + purple + yellow
239,green > red + blue + purple + yellow
240,purple = 10
241,purple = 20
242,purple = 30
243,purple = 40
244,purple = 50
245,purple = red
246,purple = blue
247,purple = green
248,purple = yellow
249,purple = red + blue
250,purple = red + green
251,purple = red + yellow
252,purple = blue + green
253,purple = blue + yellow
254,purple = green + yellow
255,purple = red + blue + green
256,purple = red + blue + yellow
257,purple = red + green + yellow
258,purple = blue + green + yellow
259,purple = red + blue + green + yellow
260,purple != 10
261,purple != 20
262,purple != 30
263,purple != 40
264,purple != 50
265,purple != red
266,purple != blue
267,purple != green
268,purple != yellow
269,purple != red + blue
270,purple != red + green
271,purple != red + yellow
272,purple != blue + green
273,purple != blue + yellow
274,purple != green + yellow
275,purple != red + blue + green
276,purple != red + blue + yellow
277,purple != red + green + yellow
278,purple != blue + green + yellow
279,purple != red + blue + green + yellow
280,purple < 10
281,purple < 20
282,purple < 30
283,purple < 40
284,purple < 50
285,purple < red
286,purple < blue
287,purple < green
288,purple < yellow
289,purple < red + blue
290,purple < red + green
291,purple < red + yellow
292,purple < blue + green
293,purple < blue + yellow
294,purple < green + yellow
295,purple < red + blue + green
296,purple < red + blue + yellow
297,purple < red + green + yellow
298,purple < blue + green + yellow
299,purple < red + blue + green + yellow
300,purple > 10
301,purple > 20
302,purple > 30
303,purple > 40
304,purple > 50
305,purple > red
306,purple > blue
307,purple > green
308,purple > yellow
309,purple > red + blue
310,purple > red + green
311,purple > red + yellow
312,purple > blue + green
313,purple > blue + yellow
314,purple > green + yellow
315,purple > red + blue + green
316,purple > red + blue + yellow
317,purple > red + green + yellow
318,purple > blue + green + yellow
319,purple > red + blue + green + yellow
320,yellow = 10
321,yellow = 20
322,yellow = 30
323,yellow = 40
324,yellow = 50
325,yellow = red
326,yellow = blue
327,yellow = green
328,yellow = purple
329,yellow = red + blue
330,yellow = red + green
331,yellow = red + purple
332,yellow = blue + green
333,yellow = blue + purple
334,yellow = green + purple
335,yellow = red + blue + green
336,yellow = red + blue + purple
337,yellow = red + green + purple
338,yellow = blue + green + purple
339,yellow = red + blue + green + purple
340,yellow != 10
341,yellow != 20
342,yellow != 30
343,yellow != 40
344,yellow != 50
345,yellow != red
346,yellow != blue
347,yellow != green
348,yellow != purple
349,yellow != red + blue
350,yellow != red + green
351,yellow != red + purple
352,yellow != blue + green
353,yellow != blue + purple
354,yellow != green + purple
355,yellow != red + blue + green
356,yellow != red + blue + purple
357,yellow != red + green + purple
358,yellow != blue + green + purple
359,yellow != red + blue + green + purple
360,yellow < 10
361,yellow < 20
362,yellow < 30
363,yellow < 40
364,yellow < 50
365,yellow < red
366,yellow < blue
367,yellow < green
368,yellow < purple
369,yellow < red + blue
370,yellow < red + green
371,yellow < red + purple
372,yellow < blue + green
373,yellow < blue + purple
374,yellow < green + purple
375,yellow < red + blue + green
376,yellow < red + blue + purple
377,yellow < red + green + purple
378,yellow < blue + green + purple
379,yellow < red + blue + green + purple
380,yellow > 10
381,yellow > 20
382,yellow > 30
383,yellow > 40
384,yellow > 50
385,yellow > red
386,yellow > blue
387,yellow > green
388,yellow > purple
389,yellow > red + blue
390,yellow > red + green
391,yellow > red + purple
392,yellow > blue + green
393,yellow > blue + purple
394,yellow > green + purple
395,yellow > red + blue + green
396,yellow > red + blue + purple
397,yellow > red + green + purple
398,yellow > blue + green + purple
399,yellow > red + blue + green + purple
400,"red = 10 , blue = 10 , green = 10"
401,"red = 10 , blue = 10 , green = 20"
402,"red = 10 , blue = 10 , green = 30"
403,"red = 10 , blue = 10 , green = 40"
404,"red = 10 , blue = 10 , green = 50"
405,"red = 10 , blue = 10 , purple = 10"
406,"red = 10 , blue = 10 , purple = 20"
407,"red = 10 , blue = 10 , purple = 30"
408,"red = 10 , blue = 10 , purple = 40"
409,"red = 10 , blue = 10 , purple = 50"
410,"red = 10 , blue = 10 , yellow = 10"
411,"red = 10 , blue = 10 , yellow = 20"
412,"red = 10 , blue = 10 , yellow = 30"
413,"red = 10 , blue = 10 , yellow = 40"
414,"red = 10 , blue = 10 , yellow = 50"
415,"red = 10 , blue = 20 , green = 10"
416,"red = 10 , blue = 20 , green = 20"
417,"red = 10 , blue = 20 , green = 30"
418,"red = 10 , blue = 20 , green = 40"
419,"red = 10 , blue = 20 , green = 50"
420,"red = 10 , blue = 20 , purple = 10"
421,"red = 10 , blue = 20 , purple = 20"
422,"red = 10 , blue = 20 , purple = 30"
423,"red = 10 , blue = 20 , purple = 40"
424,"red = 10 , blue = 20 , purple = 50"
425,"red = 10 , blue = 20 , yellow = 10"
426,"red = 10 , blue = 20 , yellow = 20"
427,"red = 10 , blue = 20 , yellow = 30"
428,"red = 10 , blue = 20 , yellow = 40"
429,"red = 10 , blue = 20 , yellow = 50"
430,"red = 10 , blue = 30 , green = 10"
431,"red = 10 , blue = 30 , green = 20"
432,"red = 10 , blue = 30 , green = 30"
433,"red = 10 , blue = 30 , green = 40"
434,"red = 10 , blue = 30 , green = 50"
435,"red = 10 , blue = 30 , purple = 10"
436,"red = 10 , blue = 30 , purple = 20"
437,"red = 10 , blue = 30 , purple = 30"
438,"red = 10 , blue = 30 , purple = 40"
439,"red = 10 , blue = 30 , purple = 50"
440,"red = 10 , blue = 30 , yellow = 10"
441,"red = 10 , blue = 30 , yellow = 20"
442,"red = 10 , blue = 30 , yellow = 30"
443,"red = 10 , blue = 30 , yellow = 40"
444,"red = 10 , blue = 30 , yellow = 50"
445,"red = 10 , blue = 40 , green = 10"
446,"red = 10 , blue = 40 , green = 20"
447,"red = 10 , blue = 40 , green = 30"
448,"red = 10 , blue = 40 , green = 40"
449,"red = 10 , blue = 40 , green = 50"
450,"red = 10 , blue = 40 , purple = 10"
451,"red = 10 , blue = 40 , purple = 20"
452,"red = 10 , blue = 40 , purple = 30"
453,"red = 10 , blue = 40 , purple = 40"
