,Propositions
0,red block equals ten
1,red block equals twenty
2,red block equals thirty
3,red block equals forty
4,red block equals fifty
5,red block equals blue block
6,red block equals green block
7,red block equals purple block
8,red block equals yellow block
9,red block equals blue block plus green block
10,red block equals blue block plus purple block
11,red block equals blue block plus yellow block
12,red block equals green block plus purple block
13,red block equals green block plus yellow block
14,red block equals purple block plus yellow block
15,red block equals blue block plus green block plus purple block
16,red block equals blue block plus green block plus yellow block
17,red block equals blue block plus purple block plus yellow block
18,red block equals green block plus purple block plus yellow block
19,red block equals blue block plus green block plus purple block plus yellow block
20,red block does not equal ten
21,red block does not equal twenty
22,red block does not equal thirty
23,red block does not equal forty
24,red block does not equal fifty
25,red block does not equal blue block
26,red block does not equal green block
27,red block does not equal purple block
28,red block does not equal yellow block
29,red block does not equal blue block plus green block
30,red block does not equal blue block plus purple block
31,red block does not equal blue block plus yellow block
32,red block does not equal green block plus purple block
33,red block does not equal green block plus yellow block
34,red block does not equal purple block plus yellow block
35,red block does not equal blue block plus green block plus purple block
36,red block does not equal blue block plus green block plus yellow block
37,red block does not equal blue block plus purple block plus yellow block
38,red block does not equal green block plus purple block plus yellow block
39,red block does not equal blue block plus green block plus purple block plus yellow block
40,red block is less than ten
41,red block is less than twenty
42,red block is less than thirty
43,red block is less than forty
44,red block is less than fifty
45,red block is less than blue block
46,red block is less than green block
47,red block is less than purple block
48,red block is less than yellow block
49,red block is less than blue block plus green block
50,red block is less than blue block plus purple block
51,red block is less than blue block plus yellow block
52,red block is less than green block plus purple block
53,red block is less than green block plus yellow block
54,red block is less than purple block plus yellow block
55,red block is less than blue block plus green block plus purple block
56,red block is less than blue block plus green block plus yellow block
57,red block is less than blue block plus purple block plus yellow block
58,red block is less than green block plus purple block plus yellow block
59,red block is less than blue block plus green block plus purple block plus yellow block
60,red block is more than ten
61,red block is more than twenty
62,red block is more than thirty
63,red block is more than forty
64,red block is more than fifty
65,red block is more than blue block
66,red block is more than green block
67,red block is more than purple block
68,red block is more than yellow block
69,red block is more than blue block plus green block
70,red block is more than blue block plus purple block
71,red block is more than blue block plus yellow block
72,red block is more than green block plus purple block
73,red block is more than green block plus yellow block
74,red block is more than purple block plus yellow block
75,red block is more than blue block plus green block plus purple block
76,red block is more than blue block plus green block plus yellow block
77,red block is more than blue block plus purple block plus yellow block
78,red block is more than green block plus purple block plus yellow block
79,red block is more than blue block plus green block plus purple block plus yellow block
80,blue block equals ten
81,blue block equals twenty
82,blue block equals thirty
83,blue block equals forty
84,blue block equals fifty
85,blue block equals red block
86,blue block equals green block
87,blue block equals purple block
88,blue block equals yellow block
89,blue block equals red block plus green block
90,blue block equals red block plus purple block
91,blue block equals red block plus yellow block
92,blue block equals green block plus purple block
93,blue block equals green block plus yellow block
94,blue block equals purple block plus yellow block
95,blue block equals red block plus green block plus purple block
96,blue block equals red block plus green block plus yellow block
97,blue block equals red block plus purple block plus yellow block
98,blue block equals green block plus purple block plus yellow block
99,blue block equals red block plus green block plus purple block plus yellow block
100,blue block does not equal ten
101,blue block does not equal twenty
102,blue block does not equal thirty
103,blue block does not equal forty
104,blue block does not equal fifty
105,blue block does not equal red block
106,blue block does not equal green block
107,blue block does not equal purple block
108,blue block does not equal yellow block
109,blue block does not equal red block plus green block
110,blue block does not equal red block plus purple block
111,blue block does not equal red block plus yellow block
112,blue block does not equal green block plus purple block
113,blue block does not equal green block plus yellow block
114,blue block does not equal purple block plus yellow block
115,blue block does not equal red block plus green block plus purple block
116,blue block does not equal red block plus green block plus yellow block
117,blue block does not equal red block plus purple block plus yellow block
118,blue block does not equal green block plus purple block plus yellow block
119,blue block does not equal red block plus green block plus purple block plus yellow block
120,blue block is less than ten
121,blue block is less than twenty
122,blue block is less than thirty
123,blue block is less than forty
124,blue block is less than fifty
125,blue block is less than red block
126,blue block is less than green block
127,blue block is less than purple block
128,blue block is less than yellow block
129,blue block is less than red block plus green block
130,blue block is less than red block plus purple block
131,blue block is less than red block plus yellow block
132,blue block is less than green block plus purple block
133,blue block is less than green block plus yellow block
134,blue block is less than purple block plus yellow block
135,blue block is less than red block plus green block plus purple block
136,blue block is less than red block plus green block plus yellow block
137,blue block is less than red block plus purple block plus yellow block
138,blue block is less than green block plus purple block plus yellow block
139,blue block is less than red block plus green block plus purple block plus yellow block
140,blue block is more than ten
141,blue block is more than twenty
142,blue block is more than thirty
143,blue block is more than forty
144,blue block is more than fifty
145,blue block is more than red block
146,blue block is more than green block
147,blue block is more than purple block
148,blue block is more than yellow block
149,blue block is more than red block plus green block
150,blue block is more than red block plus purple block
151,blue block is more than red block plus yellow block
152,blue block is more than green block plus purple block
153,blue block is more than green block plus yellow block
154,blue block is more than purple block plus yellow block
155,blue block is more than red block plus green block plus purple block
156,blue block is more than red block plus green block plus yellow block
157,blue block is more than red block plus purple block plus yellow block
158,blue block is more than green block plus purple block plus yellow block
159,blue block is more than red block plus green block plus purple block plus yellow block
160,green block equals ten
161,green block equals twenty
162,green block equals thirty
163,green block equals forty
164,green block equals fifty
165,green block equals red block
166,green block equals blue block
167,green block equals purple block
168,green block equals yellow block
169,green block equals red block plus blue block
170,green block equals red block plus purple block
171,green block equals red block plus yellow block
172,green block equals blue block plus purple block
173,green block equals blue block plus yellow block
174,green block equals purple block plus yellow block
175,green block equals red block plus blue block plus purple block
176,green block equals red block plus blue block plus yellow block
177,green block equals red block plus purple block plus yellow block
178,green block equals blue block plus purple block plus yellow block
179,green block equals red block plus blue block plus purple block plus yellow block
180,green block does not equal ten
181,green block does not equal twenty
182,green block does not equal thirty
183,green block does not equal forty
184,green block does not equal fifty
185,green block does not equal red block
186,green block does not equal blue block
187,green block does not equal purple block
188,green block does not equal yellow block
189,green block does not equal red block plus blue block
190,green block does not equal red block plus purple block
191,green block does not equal red block plus yellow block
192,green block does not equal blue block plus purple block
193,green block does not equal blue block plus yellow block
194,green block does not equal purple block plus yellow block
195,green block does not equal red block plus blue block plus purple block
196,green block does not equal red block plus blue block plus yellow block
197,green block does not equal red block plus purple block plus yellow block
198,green block does not equal blue block plus purple block plus yellow block
199,green block does not equal red block plus blue block plus purple block plus yellow block
200,green block is less than ten
201,green block is less than twenty
202,green block is less than thirty
203,green block is less than forty
204,green block is less than fifty
205,green block is less than red block
206,green block is less than blue block
207,green block is less than purple block
208,green block is less than yellow block
209,green block is less than red block plus blue block
210,green block is less than red block plus purple block
211,green block is less than red block plus yellow block
212,green block is less than blue block plus purple block
213,green block is less than blue block plus yellow block
214,green block is less than purple block plus yellow block
215,green block is less than red block plus blue block plus purple block
216,green block is less than red block plus blue block plus yellow block
217,green block is less than red block plus purple block plus yellow block
218,green block is less than blue block plus purple block plus yellow block
219,green block is less than red block plus blue block plus purple block plus yellow block
220,green block is more than ten
221,green block is more than twenty
222,green block is more than thirty
223,green block is more than forty
224,green block is more than fifty
225,green block is more than red block
226,green block is more than blue block
227,green block is more than purple block
228,green block is more than yellow block
229,green block is more than red block plus blue block
230,green block is more than red block plus purple block
231,green block is more than red block plus yellow block
232,green block is more than blue block plus purple block
233,green block is more than blue block plus yellow block
234,green block is more than purple block plus yellow block
235,green block is more than red block plus blue block plus purple block
236,green block is more than red block plus blue block plus yellow block
237,green block is more than red block plus purple block plus yellow block
238,green block is more than blue block plus purple block plus yellow block
239,green block is more than red block plus blue block plus purple block plus yellow block
240,purple block equals ten
241,purple block equals twenty
242,purple block equals thirty
243,purple block equals forty
244,purple block equals fifty
245,purple block equals red block
246,purple block equals blue block
247,purple block equals green block
248,purple block equals yellow block
249,purple block equals red block plus blue block
250,purple block equals red block plus green block
251,purple block equals red block plus yellow block
252,purple block equals blue block plus green block
253,purple block equals blue block plus yellow block
254,purple block equals green block plus yellow block
255,purple block equals red block plus blue block plus green block
256,purple block equals red block plus blue block plus yellow block
257,purple block equals red block plus green block plus yellow block
258,purple block equals blue block plus green block plus yellow block
259,purple block equals red block plus blue block plus green block plus yellow block
260,purple block does not equal ten
261,purple block does not equal twenty
262,purple block does not equal thirty
263,purple block does not equal forty
264,purple block does not equal fifty
265,purple block does not equal red block
266,purple block does not equal blue block
267,purple block does not equal green block
268,purple block does not equal yellow block
269,purple block does not equal red block plus blue block
270,purple block does not equal red block plus green block
271,purple block does not equal red block plus yellow block
272,purple block does not equal blue block plus green block
273,purple block does not equal blue block plus yellow block
274,purple block does not equal green block plus yellow block
275,purple block does not equal red block plus blue block plus green block
276,purple block does not equal red block plus blue block plus yellow block
277,purple block does not equal red block plus green block plus yellow block
278,purple block does not equal blue block plus green block plus yellow block
279,purple block does not equal red block plus blue block plus green block plus yellow block
280,purple block is less than ten
281,purple block is less than twenty
282,purple block is less than thirty
283,purple block is less than forty
284,purple block is less than fifty
285,purple block is less than red block
286,purple block is less than blue block
287,purple block is less than green block
288,purple block is less than yellow block
289,purple block is less than red block plus blue block
290,purple block is less than red block plus green block
291,purple block is less than red block plus yellow block
292,purple block is less than blue block plus green block
293,purple block is less than blue block plus yellow block
294,purple block is less than green block plus yellow block
295,purple block is less than red block plus blue block plus green block
296,purple block is less than red block plus blue block plus yellow block
297,purple block is less than red block plus green block plus yellow block
298,purple block is less than blue block plus green block plus yellow block
299,purple block is less than red block plus blue block plus green block plus yellow block
300,purple block is more than ten
301,purple block is more than twenty
302,purple block is more than thirty
303,purple block is more than forty
304,purple block is more than fifty
305,purple block is more than red block
306,purple block is more than blue block
307,purple block is more than green block
308,purple block is more than yellow block
309,purple block is more than red block plus blue block
310,purple block is more than red block plus green block
311,purple block is more than red block plus yellow block
312,purple block is more than blue block plus green block
313,purple block is more than blue block plus yellow block
314,purple block is more than green block plus yellow block
315,purple block is more than red block plus blue block plus green block
316,purple block is more than red block plus blue block plus yellow block
317,purple block is more than red block plus green block plus yellow block
318,purple block is more than blue block plus green block plus yellow block
319,purple block is more than red block plus blue block plus green block plus yellow block
320,yellow block equals ten
321,yellow block equals twenty
322,yellow block equals thirty
323,yellow block equals forty
324,yellow block equals fifty
325,yellow block equals red block
326,yellow block equals blue block
327,yellow block equals green block
328,yellow block equals purple block
329,yellow block equals red block plus blue block
330,yellow block equals red block plus green block
331,yellow block equals red block plus purple block
332,yellow block equals blue block plus green block
333,yellow block equals blue block plus purple block
334,yellow block equals green block plus purple block
335,yellow block equals red block plus blue block plus green block
336,yellow block equals red block plus blue block plus purple block
337,yellow block equals red block plus green block plus purple block
338,yellow block equals blue block plus green block plus purple block
339,yellow block equals red block plus blue block plus green block plus purple block
340,yellow block does not equal ten
341,yellow block does not equal twenty
342,yellow block does not equal thirty
343,yellow block does not equal forty
344,yellow block does not equal fifty
345,yellow block does not equal red block
346,yellow block does not equal blue block
347,yellow block does not equal green block
348,yellow block does not equal purple block
349,yellow block does not equal red block plus blue block
350,yellow block does not equal red block plus green block
351,yellow block does not equal red block plus purple block
352,yellow block does not equal blue block plus green block
353,yellow block does not equal blue block plus purple block
354,yellow block does not equal green block plus purple block
355,yellow block does not equal red block plus blue block plus green block
356,yellow block does not equal red block plus blue block plus purple block
357,yellow block does not equal red block plus green block plus purple block
358,yellow block does not equal blue block plus green block plus purple block
359,yellow block does not equal red block plus blue block plus green block plus purple block
360,yellow block is less than ten
361,yellow block is less than twenty
362,yellow block is less than thirty
363,yellow block is less than forty
364,yellow block is less than fifty
365,yellow block is less than red block
366,yellow block is less than blue block
367,yellow block is less than green block
368,yellow block is less than purple block
369,yellow block is less than red block plus blue block
370,yellow block is less than red block plus green block
371,yellow block is less than red block plus purple block
372,yellow block is less than blue block plus green block
373,yellow block is less than blue block plus purple block
374,yellow block is less than green block plus purple block
375,yellow block is less than red block plus blue block plus green block
376,yellow block is less than red block plus blue block plus purple block
377,yellow block is less than red block plus green block plus purple block
378,yellow block is less than blue block plus green block plus purple block
379,yellow block is less than red block plus blue block plus green block plus purple block
380,yellow block is more than ten
381,yellow block is more than twenty
382,yellow block is more than thirty
383,yellow block is more than forty
384,yellow block is more than fifty
385,yellow block is more than red block
386,yellow block is more than blue block
387,yellow block is more than green block
388,yellow block is more than purple block
389,yellow block is more than red block plus blue block
390,yellow block is more than red block plus green block
391,yellow block is more than red block plus purple block
392,yellow block is more than blue block plus green block
393,yellow block is more than blue block plus purple block
394,yellow block is more than green block plus purple block
395,yellow block is more than red block plus blue block plus green block
396,yellow block is more than red block plus blue block plus purple block
397,yellow block is more than red block plus green block plus purple block
398,yellow block is more than blue block plus green block plus purple block
399,yellow block is more than red block plus blue block plus green block plus purple block
400,red block equals ten and blue block equals ten and green block equals ten
401,red block equals ten and blue block equals ten and green block equals twenty
402,red block equals ten and blue block equals ten and green block equals thirty
403,red block equals ten and blue block equals ten and green block equals forty
