,Common Ground,Label,Transcript,Group
0,red = 10,1,And tell red cube top ten grams,1
1,red = 10,1,red block would nine minus ten,1
2,blue = red,1,"red block , blue block seems pretty balanced",1
3,blue = 10,1,blue block also ten,1
4,purple > 20,1,And see 's thats twenty,1
5,purple != 20,1,And see 's thats twenty,1
6,green = 20,1,green block one probably twenty ten ten twenty,1
7,"blue = 10, green = 20, red = 10",1,green block one probably twenty ten ten twenty,1
8,purple = 30,1,Ooh looking thirty,1
9,yellow > blue + purple + red,1,"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",1
10,"blue = 10, green = 20, purple = 30, red = 10",1,"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty",1
11,yellow < 50,1,"thirty fourty fifty correct purple block , green block 's still heavier yellow block thing",1
12,yellow = 50,1,fifty yellow fifty,1
13,red = 10,1,And tell red cube right ten grams yep 're going 're going flip piece paper um,2
14,blue = red,1,"needle goes red line means red block , blue block 're probably equal",2
15,blue = 10,1,blue block one probably ten grams,2
16,green = blue + red,1,looks might even,2
17,green = 20,1,first go noticed bounced twice actually get momentum,2
18,"blue = 10, red = 10",1,The first two ten,2
19,green = 20,1,knowing oh sorry green one,2
20,purple = 30,1,So twenty plus ten thirty probably,2
21,purple = 30,1,'s increment five could probably go thirty purple block,2
22,yellow > purple,1,Which much 'll put twenty right,2
23,"green = 20, purple = 30",1,"purple block , green block 's twenty thirty",2
24,yellow < green + purple,1,'s leaning towards one side bit much,2
25,yellow > blue + purple,1,Oh enough probably,2
26,yellow = 50,1,Oh twenty thirty 'll go fifty,2
27,red = 10,1,We tell weight red cube ten grams,3
28,blue = red,1,"red block , blue block 're weight",3
29,green = 20,1,sufficient green block one 's probably twenty,3
30,purple = 30,1,purple one thirty,3
31,"green = 20, purple = 30, yellow = 50",1,green twenty purple thirty yellow block weighs fifty,3
32,green = 20,1,mentioned green twenty,3
33,yellow < green + purple,1,'s leaning side,3
34,yellow < green + purple,1,'s leaning side,3
35,yellow != 10,1,yellow course ten,3
36,yellow > blue + green + red,1,"try purple block , green block",3
37,yellow = 50,1,feel yellow fifty,3
38,yellow != 30,1,yellow block 's sure thirty,3
39,yellow = 50,1,"yellow block must red block , blue block , purple block right comparing yellow block forty yellow block 's",3
40,"purple = 30, yellow = 50",1,yellow block fifty,3
41,red = 10,1,I tell red cube ten grams,4
42,blue = 10,1,Well top ten,4
43,green = 20,1,"easy green block twenty cause red block ten long 's dropping red block , blue block 's",4
44,purple = 30,1,n't drop completely consider purple block thirty ’ drop,4
45,purple != 40,1,n't drop completely consider purple block thirty ’ drop,4
46,purple != 20,1,purple block 's purple block 's twenty purple block 's got ta thirty,4
47,purple = 30,1,purple block 's purple block 's twenty purple block 's got ta thirty,4
48,yellow = 50,1,yellow red blue 's 's,4
49,blue = 10,1,blue ten,4
50,yellow = 50,1,would yellow fifty,4
51,red = 10,1,I tell red cube ten grams,5
52,red = 10,1,alright reese fill survey end red block ten grams,5
53,blue = red,1,"'d red block , blue block 's basically 's teetering",5
54,"blue = 10, red = 10",1,"scale red block , blue block ten",5
55,green = 20,1,green block one 's twenty,5
56,"blue = 10, green = 20, red = 10",1,"red block , blue block ten theory ten ten twenty",5
57,green = 20,1,green twenty let 's see use hands,5
58,purple > green,1,purple block heavier green block one green block twenty purple block heavier green block one,5
59,purple > 20,1,purple block 's heavier greather twenty,5
60,purple = 30,1,teeter teeter purple block 's less forty greater twenty purple block 's likely thirty n't options purple block 's gon na thirty,5
61,"green = 20, purple = 30",1,Thirty twenty,5
