,Common Ground,Label,Transcript,Group
0,red = 10,1,"Um , tell red cube top 10 grams",1.0
1,blue = red,1,one red block 's 10. put . hold lets slow,1.0
2,blue = 10,1,Okay,1.0
3,purple > 20,1,see theres purple block 's 20,1.0
4,purple != 20,1,see theres purple block 's 20,1.0
5,green = 20,1,okay green block one probably 20,1.0
6,"S209: STATEMENT(red = 10, blue = 10, green = 20",1,okay green block one probably 20,1.0
7,purple = 30,1,thirty,1.0
8,yellow > blue + purple + red,1,purple block ones thirty ?,1.0
9,"blue = 10, green = 20, purple = 30, red = 10",1,"red block , blue block , green block , yellow block , purple block 's ten ten",1.0
10,yellow < 50,1,fifty,1.0
11,yellow = 50,1,fourty,1.0
12,red =10,1,I tell red cube right ten grams,2.0
13,blue = red,1,", red block , blue block also look relatively size",2.0
14,blue = 10,1,'m going hold back yellow block one yellow block 's heaviest .,2.0
15,green = blue + red,1,thats better,2.0
16,green = 20,1,"knowing , , oh , sorry , green one , , twenty",2.0
17,"blue = 10, red = 10",1,probably,2.0
18,green = 20,1,"20 plus 10 , 30 probably .",2.0
20,purple = 30,1,"process putting purple block side , checking yellow block one .",2.0
21,yellow > purple,1,"Yeah , could probably try ten .",2.0
22,"green = 20, purple = 30",1,"Yeah , could probably try ten .",2.0
23,yellow < green + purple,1,ably . 20,2.0
24,yellow > blue + purple,1,oh twenty thirty 'll go 50 .,2.0
25,yellow = 50,1,"mix green block , purple block ? ?",2.0
26,red = 10,1,You determine weights remaining cubes using scale . All,3.0
27,blue = red,1,weight .,3.0
28,green = 20,1,", green one twenty",3.0
29,purple = 30,1,one maybe ?,3.0
30,"green = 20, purple = 30, yellow = 50",1,"wait , purple , much ? purple 30. green 20. 's . try",3.0
31,green = 20,1,"red block , blue block two green one 's still kinda dipping",3.0
32,yellow < green + purple,1,"red block , blue block two green one 's still kinda dipping",3.0
33,yellow < green + purple,1,"red block , blue block , green block 's li-",3.0
34,yellow != 10,1,50 ?,3.0
35,yellow > blue + green + red,1,", heavy . , done ? oh , put",3.0
36,yellow = 50,1,green yea,3.0
37,yellow != 30,1,purple block thirty,3.0
38,yellow = 50,1,colored blocks,3.0
39,"purple = 30, yellow = 50",1,"next part task , 're going determine weight block",3.0
40,red = 10,1,You determine weights remaining cubes using scale provided .,4.0
41,blue = 10,1,compare let 's compare red blue see get baseline blue .,4.0
42,green = 20,1,completed task,4.0
43,purple = 30,1,consider purple block 30,4.0
44,purple != 40,1,purple block 's purple block 's twenty,4.0
45,purple != 20,1,purple block 's purple block 's twenty,4.0
46,purple = 30,1,purple block 's got ta thi-,4.0
47,yellow = 50,1,okay yellow block fifty,4.0
48,blue = 10,1,completed task,4.0
49,yellow = 50,1,thirty would yellow,4.0
50,red = 10,1,"No , n't write . You flip piece paper , placing blocks",5.0
51,red = 10,1,end scale .,5.0
52,blue = red,1,le . We 're fine .,5.0
53,"blue = 10, red = 10",1,"red block , blue block",5.0
54,green = 20,1,purple block heavier green block one . put,5.0
55,"blue = 10, green = 20, red = 10",1,purple block green block one .,5.0
56,green = 20,1,see purple block 's thirty .,5.0
57,purple > green,1,"n't , n't n't options purple block 's gon na 30 .",5.0
58,purple > 20,1,yellow block one 's obvious-,5.0
59,purple = 30,1,"green block , purple block , green block , purple block fifty ri-",5.0
60,"green = 20, purple = 30",1,okay filled,5.0
61,yellow = 50,1,purple block one 's thirty,5.0
62,yellow = 50,1,"thirty , okay purple block 's thir-",5.0
63,"purple = 30, yellow = 50",1,survey ?,5.0
64,purple = 30,1,"twenty , right",5.0
65,red = 10,1,I tell red cube 10 grams .,6.0
66,red = 10,1,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
67,blue = red,1,"right , red block red one 's 10 grams . let 's see , seems red block , blue block might .",6.0
68,purple > blue + red,1,heavy,6.0
69,green = 20,1,sensitive scale . 's looking kinda even . try yellow block big sucker .,6.0
70,"green = 20, red = 10",1,making sure purple block n't weight bottom .,6.0
71,"purple > 20, purple < 30",1,"almost seems 30 takes past , maybe . 's sensitive . good god . 're increments 10",6.0
72,purple = 30,1,"almost seems 30 takes past , maybe . 's sensitive . good god . 're increments 10",6.0
73,yellow = 50,1,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
74,yellow < 50,1,", purple block , green block 's considerably heavier , purple block one , purple block 30 ? blue block 10 .",6.0
75,"green = 20, purple = 30",1,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
76,"blue = 10, red = 10",1,"yellow block 's definetly 30 yellow block , yellow block 's heavy",6.0
77,yellow < green + purple,1,"big blue , 50 .",6.0
78,purple + green = 50,1,"unless 's messing us red block , blue block , green block , purple block , yellow block increments five .",6.0
79,purple + blue = 40,1,greens,6.0
80,yellow = 50,1,greens,6.0
81,red = 10,1,"In part one , work together determine weights five colorful cubes .",7.0
82,blue = 10,1,blue block blue . red block ten,7.0
83,green = 20,1,green block 20 purple block 30. 's 20 plus 30. 's exaclty aligning yellow block good 50,7.0
84,green + red + blue = 40,1,try putting blue block,7.0
85,purple = 30,1,"'ll , , red block",7.0
86,"green = 20, purple = 30",1,"purple block thirty , oops , sorry",7.0
87,yellow = 50,1,"purple block thirty , oops , sorry",7.0
88,yellow = 50,1,"No , talk amongst",7.0
89,yellow = 50,1,"Yeah , I kinda feel , I n't , put two fingers , oops",7.0
90,green = 20,1,"okay . . okay 'll take red block , blue block little fine grain con-",8.0
91,purple = 30,1,done ? sorry . add red one blue one . maybe purple block might thirty .,8.0
92,yellow < green + purple,1,"um , 's left .",8.0
93,yellow > 40,1,yellow block 's 40,8.0
94,40 < yellow,1,yellow block 's 40 50,8.0
95,yellow > 40,1,"'s definitely staying , right ? 's going right .",8.0
96,40 < yellow,1,"yellow block 40. n't , less 50 actually .",8.0
97,yellow < 50,1,"mhh , 50 heavy .",8.0
98,yellow=40,1,"Yeah , 41 . So",8.0
99,yellow = 50,1,yellow block 49 .,8.0
100,yellow = 50,1,"okay , yellow block 's probably meant 50 yellow block placed differently , calibrated .",8.0
101,red = 10,1,You 're going determine weights remaining cubes using scale .,9.0
102,blue = red,1,"'d red block , blue block 's equal",9.0
103,green = blue + red,1,"red block , blue block , green block 's probably equal",9.0
104,"blue = 10, red = 10",1,"red block , blue block , green block 's probably equal",9.0
105,green != purple,1,"green block , purple block 's",9.0
106,"blue = 10, green = 20",1,"okay blue block , green block twenty ten right ?",9.0
107,purple = 30,1,"okay blue block , green block twenty ten right ?",9.0
108,yellow = green + purple,1,"probably green block , purple block , yellow block 's equal .",9.0
109,"purple = 30, yellow = 50",1,.,9.0
110,red = 10,1,I tell red cube 10 grams .,10.0
111,"blue = 10, green = 20, red = 10",1,"green block 20 red block , blue block 10 10 .",10.0
112,blue = red,1,suppose,10.0
113,"blue = 10, green = 20, red = 10",1,let 's see .,10.0
114,blue = red,1,"red block , blue block 're equal",10.0
115,purple > green,1,tell purple block one 's heavier .,10.0
116,purple = green + red,1,instructions I suppose .,10.0
117,purple > green + red,1,green block one 's 20 ?,10.0
118,around 30 = purple,1,32 something,10.0
119,"green = 20, purple = 30, yellow = 50",1,would fifty okay,10.0
120,yellow < 50,1,'s tilting towards right less,10.0
121,yellow = 50,1,I weights fifty,10.0
122,yellow < 50,1,yellow block less fifty less fifty,10.0
123,yellow < 50,1,yellow block fifty grams,10.0
124,yellow = 50,1,purple block thirty right ?,10.0
125,"blue = 10, green = 20, purple = 30, red = 10",1,yellow block 's fifty,10.0
126,red < 50,0,"Um , tell red cube top 10 grams",1.0
127,red != 10,0,"Um , tell red cube top 10 grams",1.0
128,red < 20,0,"Um , tell red cube top 10 grams",1.0
129,red = 40,0,"Um , tell red cube top 10 grams",1.0
130,red < 50,0,one red block 's 10. put . hold lets slow,1.0
131,red != 10,0,one red block 's 10. put . hold lets slow,1.0
132,red < 20,0,one red block 's 10. put . hold lets slow,1.0
133,red = 10,0,one red block 's 10. put . hold lets slow,1.0
134,purple < 20,0,see theres purple block 's 20,1.0
135,purple != 50,0,see theres purple block 's 20,1.0
136,purple > 10,0,see theres purple block 's 20,1.0
137,purple > 40,0,see theres purple block 's 20,1.0
138,purple < 20,0,see theres purple block 's 20,1.0
139,purple != 50,0,see theres purple block 's 20,1.0
140,purple > 10,0,see theres purple block 's 20,1.0
141,purple > 40,0,see theres purple block 's 20,1.0
142,green != 40,0,okay green block one probably 20,1.0
143,green < 30,0,okay green block one probably 20,1.0
144,green < 20,0,okay green block one probably 20,1.0
145,green > 30,0,okay green block one probably 20,1.0
146,green != 40,0,okay green block one probably 20,1.0
147,green < 30,0,okay green block one probably 20,1.0
148,green < 20,0,okay green block one probably 20,1.0
149,green > 30,0,okay green block one probably 20,1.0
150,"blue = 30, green = 30, red = 30",0,thirty,1.0
151,yellow != 30,0,thirty,1.0
152,green < 30,0,thirty,1.0
153,yellow < 30,0,thirty,1.0
154,purple < 30,0,purple block ones thirty ?,1.0
155,purple > 30,0,purple block ones thirty ?,1.0
156,purple = 30,0,purple block ones thirty ?,1.0
157,purple != 30,0,purple block ones thirty ?,1.0
158,"green = 10, purple = 10, yellow = 30",0,"red block , blue block , green block , yellow block , purple block 's ten ten",1.0
159,"green = 40, purple = 30, yellow = 10",0,"red block , blue block , green block , yellow block , purple block 's ten ten",1.0
160,"blue = 10, purple = 20, yellow = 20",0,"red block , blue block , green block , yellow block , purple block 's ten ten",1.0
161,"blue = 20, red = 10, yellow = 10",0,"red block , blue block , green block , yellow block , purple block 's ten ten",1.0
162,"green = 50, purple = 50, yellow = 50",0,fifty,1.0
163,purple != 50,0,fifty,1.0
164,"purple = 50, red = 50, yellow = 50",0,fifty,1.0
165,yellow != 50,0,fifty,1.0
166,red > 10,0,I tell red cube right ten grams,2.0
167,red < 10,0,I tell red cube right ten grams,2.0
168,red = 10,0,I tell red cube right ten grams,2.0
169,red != 10,0,I tell red cube right ten grams,2.0
170,red > blue,0,", red block , blue block also look relatively size",2.0
171,red < blue,0,", red block , blue block also look relatively size",2.0
172,blue != red,0,", red block , blue block also look relatively size",2.0
173,blue > red,0,", red block , blue block also look relatively size",2.0
174,yellow < 50,0,'m going hold back yellow block one yellow block 's heaviest .,2.0
175,yellow != 50,0,'m going hold back yellow block one yellow block 's heaviest .,2.0
176,yellow != 30,0,'m going hold back yellow block one yellow block 's heaviest .,2.0
177,yellow < 30,0,'m going hold back yellow block one yellow block 's heaviest .,2.0
178,green > 20,0,"knowing , , oh , sorry , green one , , twenty",2.0
179,green < 20,0,"knowing , , oh , sorry , green one , , twenty",2.0
180,green != 20,0,"knowing , , oh , sorry , green one , , twenty",2.0
181,"purple = 50, red = 30, yellow = 40",0,"knowing , , oh , sorry , green one , , twenty",2.0
182,purple != yellow,0,"process putting purple block side , checking yellow block one .",2.0
183,purple > yellow,0,"process putting purple block side , checking yellow block one .",2.0
184,yellow < purple,0,"process putting purple block side , checking yellow block one .",2.0
185,purple < yellow,0,"process putting purple block side , checking yellow block one .",2.0
186,blue < 10,0,"Yeah , could probably try ten .",2.0
187,"blue = 10, red = 10, yellow = 10",0,"Yeah , could probably try ten .",2.0
188,"blue = 10, purple = 10, yellow = 10",0,"Yeah , could probably try ten .",2.0
189,purple > 10,0,"Yeah , could probably try ten .",2.0
190,blue < 10,0,"Yeah , could probably try ten .",2.0
191,"blue = 10, red = 10, yellow = 10",0,"Yeah , could probably try ten .",2.0
192,"blue = 10, purple = 10, yellow = 10",0,"Yeah , could probably try ten .",2.0
193,purple > 10,0,"Yeah , could probably try ten .",2.0
194,"blue = 20, red = 20, yellow = 30",0,oh twenty thirty 'll go 50 .,2.0
195,"blue = 30, green = 30, red = 20",0,oh twenty thirty 'll go 50 .,2.0
196,"green = 20, red = 30, yellow = 30",0,oh twenty thirty 'll go 50 .,2.0
197,"green = 30, purple = 20, yellow = 30",0,oh twenty thirty 'll go 50 .,2.0
198,green < purple,0,"mix green block , purple block ? ?",2.0
199,green = purple,0,"mix green block , purple block ? ?",2.0
200,green != purple,0,"mix green block , purple block ? ?",2.0
201,green > purple,0,"mix green block , purple block ? ?",2.0
202,green > 20,0,", green one twenty",3.0
203,green < 20,0,", green one twenty",3.0
204,green != 20,0,", green one twenty",3.0
