,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.9601]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.0108]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0111]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0120]]),<m> red = 10 </m>
4,red block red one 's ten grams,red = 10,tensor([[0.9231]]),<m> red = 10 </m>
5,red block red one 's ten grams,red != 10,tensor([[0.0169]]),<m> red = 10 </m>
6,red block red one 's ten grams,red < 10,tensor([[0.0069]]),<m> red = 10 </m>
7,red block red one 's ten grams,red > 10,tensor([[0.0052]]),<m> red = 10 </m>
8,"seems red block , blue block might",blue = red,tensor([[0.9913]]),<m> blue = red </m>
9,"seems red block , blue block might",blue != red,tensor([[0.8679]]),<m> blue = red </m>
10,"seems red block , blue block might",red < blue,tensor([[0.8266]]),<m> blue = red </m>
11,"seems red block , blue block might",red > blue,tensor([[0.9746]]),<m> blue = red </m>
12,"seems red block , blue block might",blue < red,tensor([[0.8222]]),<m> blue = red </m>
13,"seems red block , blue block might",blue > red,tensor([[0.9808]]),<m> blue = red </m>
14,"seems red block , blue block might","blue = 10, red = 10",tensor([[0.0293]]),<m> blue = red </m>
15,"seems red block , blue block might","blue = 20, red = 10",tensor([[0.0227]]),<m> blue = red </m>
16,"seems red block , blue block might","blue = 30, red = 10",tensor([[0.0211]]),<m> blue = red </m>
17,"seems red block , blue block might","blue = 40, red = 10",tensor([[0.0147]]),<m> blue = red </m>
18,"seems red block , blue block might","blue = 50, red = 10",tensor([[0.0277]]),<m> blue = red </m>
19,"seems red block , blue block might","blue = 10, red = 20",tensor([[0.0206]]),<m> blue = red </m>
20,"seems red block , blue block might","blue = 20, red = 20",tensor([[0.0172]]),<m> blue = red </m>
21,"seems red block , blue block might","blue = 30, red = 20",tensor([[0.0135]]),<m> blue = red </m>
22,"seems red block , blue block might","blue = 40, red = 20",tensor([[0.0081]]),<m> blue = red </m>
23,"seems red block , blue block might","blue = 50, red = 20",tensor([[0.0122]]),<m> blue = red </m>
24,"seems red block , blue block might","blue = 10, red = 30",tensor([[0.0161]]),<m> blue = red </m>
25,"seems red block , blue block might","blue = 20, red = 30",tensor([[0.0190]]),<m> blue = red </m>
26,"seems red block , blue block might","blue = 30, red = 30",tensor([[0.0117]]),<m> blue = red </m>
27,"seems red block , blue block might","blue = 40, red = 30",tensor([[0.0076]]),<m> blue = red </m>
28,"seems red block , blue block might","blue = 50, red = 30",tensor([[0.0124]]),<m> blue = red </m>
29,"seems red block , blue block might","blue = 10, red = 40",tensor([[0.0071]]),<m> blue = red </m>
30,"seems red block , blue block might","blue = 20, red = 40",tensor([[0.0065]]),<m> blue = red </m>
31,"seems red block , blue block might","blue = 30, red = 40",tensor([[0.0053]]),<m> blue = red </m>
32,"seems red block , blue block might","blue = 40, red = 40",tensor([[0.0037]]),<m> blue = red </m>
33,"seems red block , blue block might","blue = 50, red = 40",tensor([[0.0039]]),<m> blue = red </m>
34,"seems red block , blue block might","blue = 10, red = 50",tensor([[0.0109]]),<m> blue = red </m>
35,"seems red block , blue block might","blue = 20, red = 50",tensor([[0.0073]]),<m> blue = red </m>
36,"seems red block , blue block might","blue = 30, red = 50",tensor([[0.0065]]),<m> blue = red </m>
37,"seems red block , blue block might","blue = 40, red = 50",tensor([[0.0036]]),<m> blue = red </m>
38,"seems red block , blue block might","blue = 50, red = 50",tensor([[0.0064]]),<m> blue = red </m>
39,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",tensor([[0.1031]]),"<m> green = 20, red = 10 </m>"
40,"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 10, red = 20",tensor([[0.0883]]),"<m> green = 20, red = 10 </m>"
41,purple block 's twenty almost seems thirty takes past,purple = 20,tensor([[0.8990]]),<m> purple > 20 </m>
42,purple block 's twenty almost seems thirty takes past,purple = 30,tensor([[0.9226]]),<m> purple > 20 </m>
43,purple block 's twenty almost seems thirty takes past,purple != 20,tensor([[0.0958]]),<m> purple > 20 </m>
44,purple block 's twenty almost seems thirty takes past,purple != 30,tensor([[0.0841]]),<m> purple > 20 </m>
45,purple block 's twenty almost seems thirty takes past,purple < 20,tensor([[0.0371]]),<m> purple > 20 </m>
46,purple block 's twenty almost seems thirty takes past,purple < 30,tensor([[0.0280]]),<m> purple > 20 </m>
47,purple block 's twenty almost seems thirty takes past,purple > 20,tensor([[0.0238]]),<m> purple > 20 </m>
48,purple block 's twenty almost seems thirty takes past,purple > 30,tensor([[0.0310]]),<m> purple > 20 </m>
49,purple block 's twenty almost seems thirty takes past,"blue = 10, purple = 20, red = 10",tensor([[0.0020]]),<m> purple > 20 </m>
50,purple block 's twenty almost seems thirty takes past,"blue = 10, purple = 30, red = 10",tensor([[0.0015]]),<m> purple > 20 </m>
51,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 10, red = 10",tensor([[0.0011]]),<m> purple > 20 </m>
52,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 20, red = 10",tensor([[0.0015]]),<m> purple > 20 </m>
53,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 30, red = 10",tensor([[0.0011]]),<m> purple > 20 </m>
54,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 40, red = 10",tensor([[0.0012]]),<m> purple > 20 </m>
55,purple block 's twenty almost seems thirty takes past,"blue = 20, purple = 50, red = 10",tensor([[0.0015]]),<m> purple > 20 </m>
56,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 10, red = 10",tensor([[0.0012]]),<m> purple > 20 </m>
57,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 20, red = 10",tensor([[0.0011]]),<m> purple > 20 </m>
58,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 30, red = 10",tensor([[0.0013]]),<m> purple > 20 </m>
59,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 40, red = 10",tensor([[0.0010]]),<m> purple > 20 </m>
60,purple block 's twenty almost seems thirty takes past,"blue = 30, purple = 50, red = 10",tensor([[0.0012]]),<m> purple > 20 </m>
61,purple block 's twenty almost seems thirty takes past,"blue = 40, purple = 20, red = 10",tensor([[0.0012]]),<m> purple > 20 </m>
62,purple block 's twenty almost seems thirty takes past,"blue = 40, purple = 30, red = 10",tensor([[0.0010]]),<m> purple > 20 </m>
63,purple block 's twenty almost seems thirty takes past,"blue = 50, purple = 20, red = 10",tensor([[0.0014]]),<m> purple > 20 </m>
64,purple block 's twenty almost seems thirty takes past,"blue = 50, purple = 30, red = 10",tensor([[0.0011]]),<m> purple > 20 </m>
65,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 20, red = 10",tensor([[0.0026]]),<m> purple > 20 </m>
66,purple block 's twenty almost seems thirty takes past,"green = 10, purple = 30, red = 10",tensor([[0.0019]]),<m> purple > 20 </m>
67,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 10, red = 10",tensor([[0.0013]]),<m> purple > 20 </m>
68,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 20, red = 10",tensor([[0.0014]]),<m> purple > 20 </m>
69,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 30, red = 10",tensor([[0.0010]]),<m> purple > 20 </m>
70,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 40, red = 10",tensor([[0.0009]]),<m> purple > 20 </m>
71,purple block 's twenty almost seems thirty takes past,"green = 20, purple = 50, red = 10",tensor([[0.0012]]),<m> purple > 20 </m>
72,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 10, red = 10",tensor([[0.0011]]),<m> purple > 20 </m>
73,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 20, red = 10",tensor([[0.0009]]),<m> purple > 20 </m>
74,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 30, red = 10",tensor([[0.0010]]),<m> purple > 20 </m>
75,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 40, red = 10",tensor([[0.0009]]),<m> purple > 20 </m>
76,purple block 's twenty almost seems thirty takes past,"green = 30, purple = 50, red = 10",tensor([[0.0010]]),<m> purple > 20 </m>
