,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.9531]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.0055]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0066]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0060]]),<m> red = 10 </m>
4,blue block seems ten,blue = 10,tensor([[0.8865]]),<m> blue = 10 </m>
5,blue block seems ten,blue != 10,tensor([[0.0208]]),<m> blue = 10 </m>
6,blue block seems ten,blue < 10,tensor([[0.0153]]),<m> blue = 10 </m>
7,blue block seems ten,blue > 10,tensor([[0.0143]]),<m> blue = 10 </m>
8,purple block 's thirty,purple = 30,tensor([[0.5104]]),<m> purple = 30 </m>
9,purple block 's thirty,purple != 30,tensor([[0.1331]]),<m> purple = 30 </m>
10,purple block 's thirty,purple < 30,tensor([[0.0474]]),<m> purple = 30 </m>
11,purple block 's thirty,purple > 30,tensor([[0.0908]]),<m> purple = 30 </m>
12,So twenty thirty,"blue = 20, green = 30, red = 20",tensor([[0.0192]]),"<m> green = 20, purple = 30 </m>"
13,So twenty thirty,"blue = 20, purple = 30, red = 20",tensor([[0.0158]]),"<m> green = 20, purple = 30 </m>"
14,So twenty thirty,"blue = 20, red = 20, yellow = 30",tensor([[0.0171]]),"<m> green = 20, purple = 30 </m>"
15,So twenty thirty,"blue = 30, green = 20, red = 20",tensor([[0.0161]]),"<m> green = 20, purple = 30 </m>"
16,So twenty thirty,"blue = 30, green = 30, red = 20",tensor([[0.0169]]),"<m> green = 20, purple = 30 </m>"
17,So twenty thirty,"blue = 30, purple = 20, red = 20",tensor([[0.0129]]),"<m> green = 20, purple = 30 </m>"
18,So twenty thirty,"blue = 30, purple = 30, red = 20",tensor([[0.0134]]),"<m> green = 20, purple = 30 </m>"
19,So twenty thirty,"blue = 30, red = 20, yellow = 20",tensor([[0.0156]]),"<m> green = 20, purple = 30 </m>"
20,So twenty thirty,"blue = 30, red = 20, yellow = 30",tensor([[0.0161]]),"<m> green = 20, purple = 30 </m>"
21,So twenty thirty,"green = 20, purple = 30, red = 20",tensor([[0.0234]]),"<m> green = 20, purple = 30 </m>"
22,So twenty thirty,"green = 20, red = 20, yellow = 30",tensor([[0.0202]]),"<m> green = 20, purple = 30 </m>"
23,So twenty thirty,"green = 30, purple = 20, red = 20",tensor([[0.0195]]),"<m> green = 20, purple = 30 </m>"
24,So twenty thirty,"green = 30, purple = 30, red = 20",tensor([[0.0209]]),"<m> green = 20, purple = 30 </m>"
25,So twenty thirty,"green = 30, red = 20, yellow = 20",tensor([[0.0186]]),"<m> green = 20, purple = 30 </m>"
26,So twenty thirty,"green = 30, red = 20, yellow = 30",tensor([[0.0202]]),"<m> green = 20, purple = 30 </m>"
27,So twenty thirty,"purple = 20, red = 20, yellow = 30",tensor([[0.0196]]),"<m> green = 20, purple = 30 </m>"
28,So twenty thirty,"purple = 30, red = 20, yellow = 20",tensor([[0.0188]]),"<m> green = 20, purple = 30 </m>"
29,So twenty thirty,"purple = 30, red = 20, yellow = 30",tensor([[0.0230]]),"<m> green = 20, purple = 30 </m>"
30,So twenty thirty,"blue = 20, green = 20, red = 30",tensor([[0.0133]]),"<m> green = 20, purple = 30 </m>"
31,So twenty thirty,"blue = 20, green = 30, red = 30",tensor([[0.0143]]),"<m> green = 20, purple = 30 </m>"
32,So twenty thirty,"blue = 20, purple = 20, red = 30",tensor([[0.0125]]),"<m> green = 20, purple = 30 </m>"
33,So twenty thirty,"blue = 20, purple = 30, red = 30",tensor([[0.0115]]),"<m> green = 20, purple = 30 </m>"
34,So twenty thirty,"blue = 20, red = 30, yellow = 20",tensor([[0.0198]]),"<m> green = 20, purple = 30 </m>"
35,So twenty thirty,"blue = 20, red = 30, yellow = 30",tensor([[0.0159]]),"<m> green = 20, purple = 30 </m>"
36,So twenty thirty,"blue = 30, green = 20, red = 30",tensor([[0.0157]]),"<m> green = 20, purple = 30 </m>"
37,So twenty thirty,"blue = 30, purple = 20, red = 30",tensor([[0.0124]]),"<m> green = 20, purple = 30 </m>"
