,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,We tell weight red cube ten grams,red = 10,tensor([[0.8666]]),<m> red = 10 </m>
1,We tell weight red cube ten grams,red != 10,tensor([[0.0910]]),<m> red = 10 </m>
2,We tell weight red cube ten grams,red < 10,tensor([[0.2327]]),<m> red = 10 </m>
3,We tell weight red cube ten grams,red > 10,tensor([[0.2647]]),<m> red = 10 </m>
4,"red block , blue block 're weight",blue = red,tensor([[0.9112]]),<m> blue = red </m>
5,"red block , blue block 're weight",blue != red,tensor([[0.1274]]),<m> blue = red </m>
6,"red block , blue block 're weight",red < blue,tensor([[0.1026]]),<m> blue = red </m>
7,"red block , blue block 're weight",red > blue,tensor([[0.2573]]),<m> blue = red </m>
8,"red block , blue block 're weight",blue < red,tensor([[0.1582]]),<m> blue = red </m>
9,"red block , blue block 're weight",blue > red,tensor([[0.4095]]),<m> blue = red </m>
10,"red block , blue block 're weight","blue = 10, red = 10",tensor([[0.1029]]),<m> blue = red </m>
11,"red block , blue block 're weight","blue = 20, red = 10",tensor([[0.0201]]),<m> blue = red </m>
12,"red block , blue block 're weight","blue = 30, red = 10",tensor([[0.0206]]),<m> blue = red </m>
13,"red block , blue block 're weight","blue = 40, red = 10",tensor([[0.0204]]),<m> blue = red </m>
14,"red block , blue block 're weight","blue = 50, red = 10",tensor([[0.0199]]),<m> blue = red </m>
15,"red block , blue block 're weight","blue = 10, red = 20",tensor([[0.0197]]),<m> blue = red </m>
16,"red block , blue block 're weight","blue = 20, red = 20",tensor([[0.0435]]),<m> blue = red </m>
17,"red block , blue block 're weight","blue = 30, red = 20",tensor([[0.0160]]),<m> blue = red </m>
18,"red block , blue block 're weight","blue = 40, red = 20",tensor([[0.0152]]),<m> blue = red </m>
19,"red block , blue block 're weight","blue = 50, red = 20",tensor([[0.0153]]),<m> blue = red </m>
20,"red block , blue block 're weight","blue = 10, red = 30",tensor([[0.0197]]),<m> blue = red </m>
21,"red block , blue block 're weight","blue = 20, red = 30",tensor([[0.0180]]),<m> blue = red </m>
22,"red block , blue block 're weight","blue = 30, red = 30",tensor([[0.0363]]),<m> blue = red </m>
23,"red block , blue block 're weight","blue = 40, red = 30",tensor([[0.0144]]),<m> blue = red </m>
24,"red block , blue block 're weight","blue = 50, red = 30",tensor([[0.0128]]),<m> blue = red </m>
25,"red block , blue block 're weight","blue = 10, red = 40",tensor([[0.0197]]),<m> blue = red </m>
26,"red block , blue block 're weight","blue = 20, red = 40",tensor([[0.0176]]),<m> blue = red </m>
27,"red block , blue block 're weight","blue = 30, red = 40",tensor([[0.0176]]),<m> blue = red </m>
28,"red block , blue block 're weight","blue = 40, red = 40",tensor([[0.0337]]),<m> blue = red </m>
29,"red block , blue block 're weight","blue = 50, red = 40",tensor([[0.0120]]),<m> blue = red </m>
30,"red block , blue block 're weight","blue = 10, red = 50",tensor([[0.0189]]),<m> blue = red </m>
31,"red block , blue block 're weight","blue = 20, red = 50",tensor([[0.0158]]),<m> blue = red </m>
32,"red block , blue block 're weight","blue = 30, red = 50",tensor([[0.0145]]),<m> blue = red </m>
33,"red block , blue block 're weight","blue = 40, red = 50",tensor([[0.0124]]),<m> blue = red </m>
34,"red block , blue block 're weight","blue = 50, red = 50",tensor([[0.0243]]),<m> blue = red </m>
