,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,blue block blue . red block ten,red = 10,tensor([[1.3762]]),<m> blue = 10 </m>
1,blue block blue . red block ten,red != 10,tensor([[0.0899]]),<m> blue = 10 </m>
2,blue block blue . red block ten,red < 10,tensor([[0.0762]]),<m> blue = 10 </m>
3,blue block blue . red block ten,red > 10,tensor([[0.0459]]),<m> blue = 10 </m>
4,blue block blue . red block ten,blue = 10,tensor([[0.9432]]),<m> blue = 10 </m>
5,blue block blue . red block ten,blue != 10,tensor([[0.0833]]),<m> blue = 10 </m>
6,blue block blue . red block ten,blue < 10,tensor([[0.0682]]),<m> blue = 10 </m>
7,blue block blue . red block ten,blue > 10,tensor([[0.0670]]),<m> blue = 10 </m>
8,blue block blue . red block ten,"blue = 10, green = 10, red = 10",tensor([[0.1663]]),<m> blue = 10 </m>
9,blue block blue . red block ten,"blue = 10, green = 20, red = 10",tensor([[0.1152]]),<m> blue = 10 </m>
10,blue block blue . red block ten,"blue = 10, green = 30, red = 10",tensor([[0.1125]]),<m> blue = 10 </m>
11,blue block blue . red block ten,"blue = 10, green = 40, red = 10",tensor([[0.0627]]),<m> blue = 10 </m>
12,blue block blue . red block ten,"blue = 10, green = 50, red = 10",tensor([[0.0883]]),<m> blue = 10 </m>
13,blue block blue . red block ten,"blue = 10, purple = 10, red = 10",tensor([[0.0569]]),<m> blue = 10 </m>
14,blue block blue . red block ten,"blue = 10, purple = 20, red = 10",tensor([[0.0564]]),<m> blue = 10 </m>
15,blue block blue . red block ten,"blue = 10, purple = 30, red = 10",tensor([[0.0543]]),<m> blue = 10 </m>
16,blue block blue . red block ten,"blue = 10, purple = 40, red = 10",tensor([[0.0458]]),<m> blue = 10 </m>
17,blue block blue . red block ten,"blue = 10, purple = 50, red = 10",tensor([[0.0471]]),<m> blue = 10 </m>
18,blue block blue . red block ten,"blue = 10, red = 10, yellow = 10",tensor([[0.0574]]),<m> blue = 10 </m>
19,blue block blue . red block ten,"blue = 10, red = 10, yellow = 20",tensor([[0.0521]]),<m> blue = 10 </m>
20,blue block blue . red block ten,"blue = 10, red = 10, yellow = 30",tensor([[0.0495]]),<m> blue = 10 </m>
21,blue block blue . red block ten,"blue = 10, red = 10, yellow = 40",tensor([[0.0469]]),<m> blue = 10 </m>
22,blue block blue . red block ten,"blue = 10, red = 10, yellow = 50",tensor([[0.0448]]),<m> blue = 10 </m>
23,blue block blue . red block ten,"blue = 20, green = 10, red = 10",tensor([[0.0929]]),<m> blue = 10 </m>
24,blue block blue . red block ten,"blue = 20, green = 20, red = 10",tensor([[0.0957]]),<m> blue = 10 </m>
25,blue block blue . red block ten,"blue = 20, green = 30, red = 10",tensor([[0.0736]]),<m> blue = 10 </m>
26,blue block blue . red block ten,"blue = 20, green = 40, red = 10",tensor([[0.0571]]),<m> blue = 10 </m>
27,blue block blue . red block ten,"blue = 20, green = 50, red = 10",tensor([[0.0831]]),<m> blue = 10 </m>
28,blue block blue . red block ten,"blue = 20, purple = 10, red = 10",tensor([[0.0486]]),<m> blue = 10 </m>
29,blue block blue . red block ten,"blue = 20, purple = 20, red = 10",tensor([[0.0564]]),<m> blue = 10 </m>
30,blue block blue . red block ten,"blue = 20, purple = 30, red = 10",tensor([[0.0462]]),<m> blue = 10 </m>
31,blue block blue . red block ten,"blue = 20, purple = 40, red = 10",tensor([[0.0443]]),<m> blue = 10 </m>
32,blue block blue . red block ten,"blue = 20, purple = 50, red = 10",tensor([[0.0464]]),<m> blue = 10 </m>
33,blue block blue . red block ten,"blue = 20, red = 10, yellow = 10",tensor([[0.0475]]),<m> blue = 10 </m>
34,blue block blue . red block ten,"blue = 20, red = 10, yellow = 20",tensor([[0.0512]]),<m> blue = 10 </m>
35,blue block blue . red block ten,"blue = 20, red = 10, yellow = 30",tensor([[0.0443]]),<m> blue = 10 </m>
36,blue block blue . red block ten,"blue = 20, red = 10, yellow = 40",tensor([[0.0437]]),<m> blue = 10 </m>
37,blue block blue . red block ten,"blue = 20, red = 10, yellow = 50",tensor([[0.0447]]),<m> blue = 10 </m>
38,blue block blue . red block ten,"blue = 30, green = 10, red = 10",tensor([[0.0785]]),<m> blue = 10 </m>
39,blue block blue . red block ten,"blue = 30, green = 20, red = 10",tensor([[0.0938]]),<m> blue = 10 </m>
40,blue block blue . red block ten,"blue = 30, green = 30, red = 10",tensor([[0.0834]]),<m> blue = 10 </m>
