,transcript,filtered_common_ground,cosine_similarity,true_common_ground
0,I tell red cube ten grams,red = 10,tensor([[0.8187]]),<m> red = 10 </m>
1,I tell red cube ten grams,red != 10,tensor([[0.1009]]),<m> red = 10 </m>
2,I tell red cube ten grams,red < 10,tensor([[0.0648]]),<m> red = 10 </m>
3,I tell red cube ten grams,red > 10,tensor([[0.0669]]),<m> red = 10 </m>
4,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",tensor([[0.0154]]),"<m> blue = 10, green = 20, red = 10 </m>"
5,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 10",tensor([[0.0138]]),"<m> blue = 10, green = 20, red = 10 </m>"
6,"green block twenty red block , blue block ten ten","blue = 20, green = 20, red = 10",tensor([[0.0069]]),"<m> blue = 10, green = 20, red = 10 </m>"
7,"green block twenty red block , blue block ten ten","blue = 10, green = 10, red = 20",tensor([[0.0070]]),"<m> blue = 10, green = 20, red = 10 </m>"
8,"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 20",tensor([[0.0070]]),"<m> blue = 10, green = 20, red = 10 </m>"
9,"green block twenty red block , blue block ten ten","blue = 20, green = 10, red = 20",tensor([[0.0066]]),"<m> blue = 10, green = 20, red = 10 </m>"
10,"looks red block , blue block 're fairly equal",blue = red,tensor([[0.7996]]),<m> blue = red </m>
11,"looks red block , blue block 're fairly equal",blue != red,tensor([[0.5080]]),<m> blue = red </m>
12,"looks red block , blue block 're fairly equal",red < blue,tensor([[0.2167]]),<m> blue = red </m>
13,"looks red block , blue block 're fairly equal",red > blue,tensor([[0.4014]]),<m> blue = red </m>
14,"looks red block , blue block 're fairly equal",blue < red,tensor([[0.2391]]),<m> blue = red </m>
15,"looks red block , blue block 're fairly equal",blue > red,tensor([[0.4858]]),<m> blue = red </m>
16,"looks red block , blue block 're fairly equal","blue = 10, red = 10",tensor([[0.4380]]),<m> blue = red </m>
17,"looks red block , blue block 're fairly equal","blue = 20, red = 10",tensor([[0.1833]]),<m> blue = red </m>
18,"looks red block , blue block 're fairly equal","blue = 30, red = 10",tensor([[0.2199]]),<m> blue = red </m>
19,"looks red block , blue block 're fairly equal","blue = 40, red = 10",tensor([[0.2052]]),<m> blue = red </m>
20,"looks red block , blue block 're fairly equal","blue = 50, red = 10",tensor([[0.1817]]),<m> blue = red </m>
21,"looks red block , blue block 're fairly equal","blue = 10, red = 20",tensor([[0.2016]]),<m> blue = red </m>
22,"looks red block , blue block 're fairly equal","blue = 20, red = 20",tensor([[0.2944]]),<m> blue = red </m>
