Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group,Unnamed: 0.1,true label,predicted label,Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
0.0,green twenty,green = 20,0.9222692,<m> green = 20 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,green twenty,green != 20,0.00701935,<m> green = 20 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,green twenty,green < 20,0.0019362097,<m> green = 20 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,green twenty,green > 20,0.0012993166,<m> green = 20 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,twenty purple block 's thirty,purple = 20,0.94220304,<m> purple = 30 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,twenty purple block 's thirty,purple = 30,0.9373051,<m> purple = 30 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,twenty purple block 's thirty,"green = 10, purple = 20",0.36723372,<m> purple = 30 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,twenty purple block 's thirty,"green = 20, purple = 20",0.3571627,<m> purple = 30 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,twenty purple block 's thirty,"green = 10, purple = 30",0.34369752,<m> purple = 30 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,oh yellow block 's forty,yellow = 40,0.89261997,<m> yellow > 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,oh yellow block 's forty,yellow != 40,0.002491464,<m> yellow > 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,oh yellow block 's forty,yellow < 40,0.0014062979,<m> yellow > 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,oh yellow block 's forty,yellow > 40,0.0009931894,<m> yellow > 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Between forty fifty,red = 50,0.925344,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Between forty fifty,green = 50,0.9067092,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Between forty fifty,red = 40,0.90155363,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Between forty fifty,green = 40,0.89863074,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Between forty fifty,yellow = 50,0.8946036,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,But n't less fifty actually,red = 50,0.920179,<m> yellow > 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,But n't less fifty actually,yellow = 50,0.87816226,<m> yellow > 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,But n't less fifty actually,blue = 50,0.86028004,<m> yellow > 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,But n't less fifty actually,green = 50,0.85512567,<m> yellow > 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,But n't less fifty actually,purple = 50,0.85123944,<m> yellow > 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Fifty heavy,yellow = 50,0.9299717,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Fifty heavy,green = 50,0.8746816,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Fifty heavy,red = 50,0.7512729,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Fifty heavy,blue = 50,0.68543285,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Fifty heavy,purple = 50,0.5539817,<m> yellow < 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,yellow block 's forty one,yellow = 40,0.8816992,<m> yellow = 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,yellow block 's forty one,yellow != 40,0.042779077,<m> yellow = 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,yellow block 's forty one,yellow < 40,0.011265197,<m> yellow = 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,yellow block 's forty one,yellow > 40,0.009575897,<m> yellow = 40 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,minus one yellow block forty nine,blue = yellow,0.9478007,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,minus one yellow block forty nine,purple = yellow,0.94446206,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,minus one yellow block forty nine,yellow = 30,0.9357008,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,minus one yellow block forty nine,green = yellow,0.9327301,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,minus one yellow block forty nine,purple = green + yellow,0.9179569,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,yellow block 's probably meant fifty placed differently,yellow = 50,0.8591354,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,yellow block 's probably meant fifty placed differently,yellow < 50,0.38910294,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,yellow block 's probably meant fifty placed differently,yellow > 50,0.35387462,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,yellow block 's probably meant fifty placed differently,yellow != 50,0.35221046,<m> yellow = 50 </m>,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,The red cube ten grams,red = 10,0.89647985,<m> red = 10 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,The red cube ten grams,red > 10,0.01117261,<m> red = 10 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,The red cube ten grams,red != 10,0.009790735,<m> red = 10 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,The red cube ten grams,red < 10,0.0054160138,<m> red = 10 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,"would red block , blue block 's equal probably",blue = red,0.97839767,<m> blue = red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,"would red block , blue block 's equal probably",blue > red,0.89773214,<m> blue = red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"would red block , blue block 's equal probably",red > blue,0.8558574,<m> blue = red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"would red block , blue block 's equal probably",blue != red,0.7348126,<m> blue = red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,"would red block , blue block 's equal probably",blue < red,0.70448124,<m> blue = red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,"red block , blue block , green block 's probably equal",blue > green + red,0.6862688,<m> green = blue + red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,"red block , blue block , green block 's probably equal",green = blue + red,0.62364507,<m> green = blue + red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"red block , blue block , green block 's probably equal",blue = green + red,0.6199321,<m> green = blue + red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,"red block , blue block , green block 's probably equal",blue < green + red,0.5958849,<m> green = blue + red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"red block , blue block , green block 's probably equal",green > blue + red,0.59181666,<m> green = blue + red </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,So got ten ten,green = 10,0.8797363,"<m> blue = 10, red = 10 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,So got ten ten,red = 10,0.84992635,"<m> blue = 10, red = 10 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,So got ten ten,yellow = 10,0.8453148,"<m> blue = 10, red = 10 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,So got ten ten,blue = 10,0.8161327,"<m> blue = 10, red = 10 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,So got ten ten,purple = 10,0.8090606,"<m> blue = 10, red = 10 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,"green block , blue block twenty ten right","blue = 20, green = 10",0.8228718,"<m> blue = 10, green = 20 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,"green block , blue block twenty ten right","blue = 10, green = 20",0.7140913,"<m> blue = 10, green = 20 </m>",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Look thirty gram block,red = 30,0.94783694,<m> purple = 30 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Look thirty gram block,blue = 30,0.92076373,<m> purple = 30 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Look thirty gram block,green = 30,0.9138749,<m> purple = 30 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Look thirty gram block,yellow = 30,0.9035191,<m> purple = 30 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Look thirty gram block,purple = 30,0.8499357,<m> purple = 30 </m>,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
