,Unnamed: 0,transcript,common_ground,scores,actual_common_ground,Group,Unnamed: 0.1,true label,predicted label,Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
0,0.0,green twenty,green = 20,0.9222692,green = 20,8.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,green twenty,green != 20,0.00701935,green = 20,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,green twenty,green < 20,0.0019362097,green = 20,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,green twenty,green > 20,0.0012993166,green = 20,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,twenty purple block 's thirty,purple = 20,0.94220304,purple = 30,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,twenty purple block 's thirty,purple = 30,0.9373051,purple = 30,8.0,,1,1,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,twenty purple block 's thirty,"green = 10, purple = 20",0.36723372,purple = 30,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,twenty purple block 's thirty,"green = 20, purple = 20",0.3571627,purple = 30,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,twenty purple block 's thirty,"green = 10, purple = 30",0.34369752,purple = 30,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,oh yellow block 's forty,yellow = 40,0.89261997,yellow > 40,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,oh yellow block 's forty,yellow != 40,0.002491464,yellow > 40,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,oh yellow block 's forty,yellow < 40,0.0014062979,yellow > 40,8.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,oh yellow block 's forty,yellow > 40,0.0009931894,yellow > 40,8.0,,1,0,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,Between forty fifty,red = 50,0.925344,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,Between forty fifty,green = 50,0.9067092,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,Between forty fifty,red = 40,0.90155363,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,Between forty fifty,green = 40,0.89863074,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,Between forty fifty,yellow = 50,0.8946036,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,But n't less fifty actually,red = 50,0.920179,yellow > 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
19,19.0,But n't less fifty actually,yellow = 50,0.87816226,yellow > 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,But n't less fifty actually,blue = 50,0.86028004,yellow > 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,But n't less fifty actually,green = 50,0.85512567,yellow > 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,But n't less fifty actually,purple = 50,0.85123944,yellow > 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,Fifty heavy,yellow = 50,0.9299717,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
24,24.0,Fifty heavy,green = 50,0.8746816,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
25,25.0,Fifty heavy,red = 50,0.7512729,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,Fifty heavy,blue = 50,0.68543285,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
27,27.0,Fifty heavy,purple = 50,0.5539817,yellow < 50,8.0,,0,1,,,,,,,,,,,,,,,,,,,,,,,
