Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
"'d red block , blue block 's basically 's teetering",blue = red,1,blue = red,0.9583312,blue != red,0.7648013,blue < red,0.6094427,red > blue,0.5996057,blue > red,0.5971844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple > green + red,0,yellow = purple + red,0.9598552,green = purple + yellow,0.958354,blue = purple,0.95707,red = purple + yellow,0.9555596,green = purple + red,0.9553647,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
's 's almost settled yellow block 's less fifty,yellow < 50,4,yellow = 50,0.9569665,yellow > 50,0.51412624,yellow != 50,0.28307185,yellow < 50,0.22005303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
's increment five could probably go thirty purple block,purple = 30,1,purple = 30,0.85071445,purple != 30,0.32307,purple > 30,0.22674948,purple < 30,0.19124073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",1,"green = 20, red = 10",0.10307513,"green = 10, red = 20",0.0883277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And see 's thats twenty,purple != 20,0,yellow = 20,0.16954552,yellow = 20,0.16954552,blue = 20,0.112723656,blue = 20,0.112723656,green = 20,0.1091585,green = 20,0.1091585,purple = 20,0.096449725,purple = 20,0.096449725,red = 20,0.09317247,red = 20,0.09317247
And tell red cube right ten grams yep 're going 're going flip piece paper um,red = 10,1,red = 10,0.86582947,red > 10,0.3182307,red != 10,0.2576742,red < 10,0.20996003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
And tell red cube top ten grams,red = 10,1,red = 10,0.6271255,red > 10,0.005829897,red < 10,0.005201473,red != 10,0.0013927371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Between forty fifty,yellow < 50,0,red = 50,0.925344,green = 50,0.9067092,red = 40,0.90155363,green = 40,0.89863074,yellow = 50,0.8946036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
But 's I weights fifty,yellow = 50,4,green = 50,0.95896596,red = 50,0.95827544,purple = 50,0.95453846,yellow = 50,0.9480097,blue = 50,0.9463743,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
But n't less fifty actually,yellow > 50,0,red = 50,0.920179,yellow = 50,0.87816226,blue = 50,0.86028004,green = 50,0.85512567,purple = 50,0.85123944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fifty,yellow = 50,1,yellow = 50,0.9801607,green = 50,0.97892994,blue = 50,0.9706894,red = 50,0.9654487,purple = 50,0.95448554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fifty I,yellow = 50,1,yellow = 50,0.9406433,red = 50,0.94057333,blue = 50,0.9298663,green = 50,0.9202169,purple = 50,0.90856934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fifty heavy,yellow < 50,0,yellow = 50,0.9299717,green = 50,0.8746816,red = 50,0.7512729,blue = 50,0.68543285,purple = 50,0.5539817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
I tell red cube ten grams,red = 10,1,red = 10,0.9912009,red = 10,0.9819521,red = 10,0.9784713,red = 10,0.9601264,red = 10,0.93636274,red > 10,0.011975471,red < 10,0.0119056925,red < 10,0.011083246,red != 10,0.0108457245,red != 10,0.0073709246
Look thirty gram block,purple = 30,5,red = 30,0.94783694,blue = 30,0.92076373,green = 30,0.9138749,yellow = 30,0.9035191,purple = 30,0.8499357,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oh twenty thirty 'll go fifty,yellow = 50,2,green = 50,0.9236868,yellow = 50,0.9128176,green = 20,0.8999214,green = 30,0.8793607,red = 50,0.8782414,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ooh looking thirty,purple = 30,2,green = 30,0.34852296,purple = 30,0.34555164,yellow = 30,0.24958962,red = 30,0.16686097,blue = 30,0.13749582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
So got ten ten,"blue = 10, red = 10",0,green = 10,0.8797363,red = 10,0.84992635,yellow = 10,0.8453148,blue = 10,0.8161327,purple = 10,0.8090606,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
So twenty plus ten thirty probably,purple = 30,0,green = 10,0.97040117,blue = 10,0.96968186,green = 20,0.9695152,green = 30,0.96869576,blue = 30,0.96746904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
So twenty thirty,"green = 20, purple = 30",1,"green = 20, purple = 30",0.15239277,"green = 30, purple = 20",0.14322478,"blue = 30, green = 20",0.1366711,"green = 30, yellow = 20",0.12760285,"blue = 20, green = 30",0.12451751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The first two ten,"blue = 10, red = 10",0,green = 10,0.9727864,red = 10,0.9709476,blue = 10,0.96816546,yellow = 10,0.9614841,purple = 10,0.7225243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The red cube ten grams,red = 10,1,red = 10,0.89647985,red > 10,0.01117261,red != 10,0.009790735,red < 10,0.0054160138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thirty twenty,"green = 20, purple = 30",5,"green = 20, yellow = 30",0.17963195,"green = 30, yellow = 20",0.16601083,"green = 20, red = 30",0.10692774,"green = 30, red = 20",0.087073214,"green = 20, purple = 30",0.08590405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
We tell weight red cube ten grams,red = 10,1,red = 10,0.9807869,red > 10,0.010768212,red < 10,0.010366646,red != 10,0.0030275416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Well top ten,blue = 10,5,yellow = 10,0.86534154,purple = 10,0.8466913,green = 10,0.7738965,red = 10,0.75506043,blue = 10,0.68474734,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ah yellow block 's fifty,yellow = 50,1,yellow = 50,0.47249514,yellow > 50,0.14678708,yellow < 50,0.031122917,yellow != 50,0.005897481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"alright let 's green block , purple block two already tell purple block one 's heavier",purple > green,4,green = purple,0.97430515,green != purple,0.86694396,green > purple,0.5064979,purple > green,0.49456072,purple < green,0.46960858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alright reese fill survey end red block ten grams,red = 10,1,red = 10,0.969695,red < 10,0.03314563,red != 10,0.028600996,red > 10,0.022345774,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blue block also ten,blue = 10,1,blue = 10,0.79851717,blue > 10,0.027108423,blue != 10,0.016015878,blue < 10,0.013641644,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blue block one probably ten grams,blue = 10,1,blue = 10,0.91359615,blue > 10,0.016292768,blue != 10,0.010554024,blue < 10,0.009697404,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blue block seems ten,blue = 10,1,blue = 10,0.7990388,blue != 10,0.026890364,blue < 10,0.010355608,blue > 10,0.010353598,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"blue dark blue one thirty purple block 's larger one purple block , red block , blue block 's slightly heavier",yellow > blue + purple + red,0,blue = yellow,0.96398395,green = purple,0.9619002,blue = green,0.9618826,blue = red,0.9609119,blue = purple,0.9606155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blue ten,blue = 10,1,blue = 10,0.87344956,blue != 10,0.013948024,blue < 10,0.0036241752,blue > 10,0.0009899433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"easy green block twenty cause red block ten long 's dropping red block , blue block 's",green = 20,0,purple = red,0.9926219,green = purple,0.99130094,blue = red,0.990963,green = red,0.99076325,blue = purple,0.99017525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ever slightly though green block , purple block , yellow block 's probably probably green block , purple block , yellow block 's equal",yellow = green + purple,3,yellow < green + purple,0.8332112,purple < green + yellow,0.8156763,yellow = green + purple,0.81451565,green = purple + yellow,0.81048244,purple = green + yellow,0.7937629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
feel yellow fifty,yellow = 50,1,yellow = 50,0.9679334,yellow < 50,0.02261477,yellow > 50,0.007513127,yellow != 50,0.003861872,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fifty yellow fifty,yellow = 50,1,yellow = 50,0.7096553,yellow < 50,0.027183995,yellow > 50,0.0038554862,yellow != 50,0.0028473656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"green block , blue block twenty ten right","blue = 10, green = 20",2,"blue = 20, green = 10",0.8228718,"blue = 10, green = 20",0.7140913,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"green block , purple block 's heavy",yellow < green + purple,0,green = 40,0.981876,green = 10,0.98070526,green = red,0.9807023,purple = red,0.9801675,purple = yellow,0.97968173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"green block , red block , purple block equal green block , red block , purple block instructions suppose",purple = green + red,3,green = purple + red,0.7273821,red = green + purple,0.6960676,purple = green + red,0.64855164,red != green + purple,0.477751,purple != green + red,0.47008944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
green block one 's twenty,green = 20,1,green = 20,0.9785199,green != 20,0.087551504,green > 20,0.022014761,green < 20,0.018992115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
green block one probably twenty ten ten twenty,"blue = 10, green = 20, red = 10",0,green = 10,0.92326415,green = 10,0.92326415,green = 20,0.91677713,green = 20,0.91677713,"green = 10, red = 20",0.111751035,"green = 10, red = 20",0.111751035,"green = 20, yellow = 50",0.10777743,"green = 20, yellow = 50",0.10777743,"green = 20, red = 20",0.107524656,"green = 20, red = 20",0.107524656
"green block twenty red block , blue block ten ten","blue = 10, green = 20, red = 10",3,"blue = 20, green = 20, red = 10",0.30118746,"blue = 20, green = 10, red = 10",0.30105716,"blue = 10, green = 20, red = 10",0.295505,"blue = 20, green = 10, red = 20",0.27814132,"blue = 10, green = 20, red = 20",0.2752137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
green twenty,green = 20,1,green = 20,0.9222692,green != 20,0.00701935,green < 20,0.0019362097,green > 20,0.0012993166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
green twenty let 's see use hands,green = 20,1,green = 20,0.96433175,green != 20,0.25035313,green < 20,0.0722975,green > 20,0.035357542,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
green twenty purple thirty yellow block weighs fifty,"green = 20, purple = 30, yellow = 50",0,"green = 20, purple = 50, yellow = 30",0.1320819,"green = 30, purple = 50, yellow = 20",0.107165635,"green = 50, purple = 20, yellow = 30",0.09564406,"green = 30, purple = 20, yellow = 50",0.094658524,"green = 50, purple = 30, yellow = 20",0.087539405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"im thinking red block , blue block , green block , yellow block , purple block 's ten ten twenty thirty","blue = 10, green = 20, purple = 30, red = 10",0,green = 10,0.8706331,green = 20,0.8492517,blue = 10,0.82082045,green = 30,0.81838346,blue = 20,0.8159052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
