Transcript,Ground truth,Correct,Top 1 prop,Top 1 cosim,Top 2 prop,Top 2 cosim,Top 3 prop,Top 3 cosim,Top 4 prop,Top 4 cosim,Top 5 prop,Top 5 cosim,Top 6 prop,Top 6 cosim,Top 7 prop,Top 7 cosim,Top 8 prop,Top 8 cosim,Top 9 prop,Top 9 cosim,Top 10 prop,Top 10 cosim
"'d red block , blue block 's basically 's teetering",blue = red,1,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544,blue = red,0.94502544
"'m guessing 's little bit left little bit left touches red line left hand side left line red red block , blue block , green block 's gon na heavier equal almost almost equal wait green block one 's twenty n't",purple > green + red,0,yellow > blue + green + purple + red,0.946714,purple > blue + green + red + yellow,0.94670105,purple < blue + green + red + yellow,0.94670105,green < blue + purple + red + yellow,0.946612,red > blue + green + purple,0.9464844,green != blue + red,0.9354671,green != blue + red,0.9354671,blue != green,0.9325131,blue != green,0.9325131,green != purple + red,0.9322263
's 's almost settled yellow block 's less fifty,yellow < 50,30,yellow = 50,0.9452783,yellow = 50,0.93273544,yellow = 50,0.93273544,yellow = 50,0.9251636,yellow = 50,0.9251636,yellow = 50,0.9251636,yellow = 50,0.9251636,yellow = 50,0.9251636,yellow = 50,0.9251636,yellow = 50,0.9251636
's increment five could probably go thirty purple block,purple = 30,1,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435,purple = 30,0.72222435
"'s stuff written bottom 's red block , green block 's ten twenty right right 's looking","green = 20, red = 10",1,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153,"green = 20, red = 10",0.48495153
And see 's thats twenty,purple != 20,0,red = 20,0.9510545,red = 20,0.9510545,green = 20,0.9507195,green = 20,0.9507195,yellow = 20,0.9408214,yellow = 20,0.9408214,blue = 20,0.925351,blue = 20,0.925351,purple = 20,0.90563655,purple = 20,0.90563655
And tell red cube right ten grams yep 're going 're going flip piece paper um,red = 10,1,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433,red = 10,0.74731433
And tell red cube top ten grams,red = 10,1,red = 10,0.9451995,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722,red = 10,0.8264722
Between forty fifty,yellow < 50,0,green = 50,0.8920896,blue = 50,0.8879031,red = 50,0.8876736,yellow = 50,0.8831936,purple = 50,0.88034606,green = 50,0.8581042,green = 50,0.8581042,green = 50,0.8581042,green = 50,0.8581042,green = 50,0.8581042
But 's I weights fifty,yellow = 50,9,green = 50,0.91233945,green = 50,0.91233945,purple = 50,0.90671206,purple = 50,0.90671206,blue = 50,0.9051168,blue = 50,0.9051168,red = 50,0.9036185,red = 50,0.9036185,yellow = 50,0.8982365,yellow = 50,0.8982365
But n't less fifty actually,yellow > 50,0,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215,green = 50,0.8903215
Fifty,yellow = 50,46,purple = 50,0.7271421,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063,purple = 50,0.7247063
Fifty I,yellow = 50,43,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615,blue = 50,0.76076615
Fifty heavy,yellow < 50,0,purple = 50,0.8256395,green = 50,0.79134274,blue = 50,0.78231627,yellow = 50,0.7660643,red = 50,0.76565075,green = 50,0.60773635,green = 50,0.60773635,green = 50,0.60773635,green = 50,0.60773635,green = 50,0.60773635
I tell red cube ten grams,red = 10,1,red = 10,0.9387801,red = 10,0.92161214,red = 10,0.92161214,red = 10,0.90941596,red = 10,0.90941596,red = 10,0.90941596,red = 10,0.90941596,red = 10,0.90941596,red = 10,0.90941596,red = 10,0.90941596
Look thirty gram block,purple = 30,2,green = 30,0.8799778,purple = 30,0.8799631,blue = 30,0.8790333,red = 30,0.8789299,yellow = 30,0.87823236,purple = 30,0.37665254,purple = 30,0.37665254,purple = 30,0.37665254,purple = 30,0.37665254,purple = 30,0.37665254
Oh twenty thirty 'll go fifty,yellow = 50,3,red = 50,0.8541033,purple = 50,0.8532909,yellow = 50,0.8462546,green = 50,0.8348585,blue = 50,0.8287237,purple > 50,0.7011048,purple > 50,0.7011048,purple > 50,0.7011048,purple > 50,0.7011048,purple > 50,0.7011048
Ooh looking thirty,purple = 30,5,green = 30,0.9582597,yellow = 30,0.9575596,red = 30,0.9571774,blue = 30,0.9560083,purple = 30,0.9523158,red = 30,0.8507298,red = 30,0.8507298,red = 30,0.8507298,red = 30,0.8507298,red = 30,0.8507298
So got ten ten,"blue = 10, red = 10",0,purple = 10,0.87811637,blue = 10,0.8701211,yellow = 10,0.8645164,green = 10,0.8630764,green = 10,0.8630764,green = 10,0.8630764,green = 10,0.8630764,green = 10,0.8630764,green = 10,0.8630764,green = 10,0.8630764
So twenty plus ten thirty probably,purple = 30,75,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276,blue = 10,0.69875276
So twenty thirty,"green = 20, purple = 30",1,"green = 20, purple = 30",0.56986773,"purple = 20, red = 30",0.5528852,"blue = 20, purple = 30",0.48790002,"purple = 20, yellow = 30",0.46472973,"green = 20, red = 30",0.45283228,"blue = 20, green = 30",0.0645487,"blue = 20, green = 30",0.0645487,"blue = 20, green = 30",0.0645487,"blue = 20, green = 30",0.0645487,"blue = 20, green = 30",0.0645487
The first two ten,"blue = 10, red = 10",0,red = 10,0.83189213,green = 10,0.82978755,blue = 10,0.8198548,yellow = 10,0.8169056,purple = 10,0.80200446,purple > 10,0.70171833,purple > 10,0.70171833,purple > 10,0.70171833,purple > 10,0.70171833,purple > 10,0.70171833
The red cube ten grams,red = 10,1,red = 10,0.88107526,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266,red = 10,0.69490266
Thirty twenty,"green = 20, purple = 30",15,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677,"blue = 20, green = 30",0.50902677
We tell weight red cube ten grams,red = 10,1,red = 10,0.8666451,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454,red = 10,0.81154454
Well top ten,blue = 10,4,red = 10,0.8322146,green = 10,0.82694185,yellow = 10,0.794932,blue = 10,0.78747606,purple = 10,0.77556175,purple = 10,0.77556175,purple = 10,0.77556175,purple = 10,0.77556175,purple = 10,0.77556175,purple = 10,0.77556175
Which much 'll put twenty right,yellow > purple,0,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327,yellow = 20,0.74082327
